month,report_date,prison,section,published_uoc,baseline_cna,in_use_cna,op_cap,population,prison_key,cells_out_of_use,crowding
2018-03-01,2018-03-23,Altcourse,prison,86515.0,794.0,794.0,1184.0,1136.0,altcourse,0.0,390.0
2018-03-01,2018-03-23,Ashfield,prison,86515.0,416.0,409.0,412.0,408.0,ashfield,7.0,3.0
2018-03-01,2018-03-23,Askham Grange,prison,86515.0,150.0,126.0,128.0,119.0,askham grange,24.0,2.0
2018-03-01,2018-03-23,Aylesbury,prison,86515.0,410.0,410.0,444.0,410.0,aylesbury,0.0,34.0
2018-03-01,2018-03-23,Bedford,prison,86515.0,317.0,317.0,486.0,439.0,bedford,0.0,169.0
2018-03-01,2018-03-23,Belmarsh,prison,86515.0,760.0,760.0,906.0,848.0,belmarsh,0.0,146.0
2018-03-01,2018-03-23,Berwyn,prison,86515.0,990.0,990.0,990.0,936.0,berwyn,0.0,0.0
2018-03-01,2018-03-23,Birmingham,prison,86515.0,1093.0,982.0,1334.0,1304.0,birmingham,111.0,352.0
2018-03-01,2018-03-23,Blantyre House,prison,86515.0,122.0,,,,blantyre house,,
2018-03-01,2018-03-23,Brinsford,prison,86515.0,545.0,508.0,540.0,499.0,brinsford,37.0,32.0
2018-03-01,2018-03-23,Bristol,prison,86515.0,425.0,395.0,602.0,505.0,bristol,30.0,207.0
2018-03-01,2018-03-23,Brixton,prison,86515.0,529.0,529.0,798.0,769.0,brixton,0.0,269.0
2018-03-01,2018-03-23,Bronzefield,prison,86515.0,527.0,527.0,572.0,533.0,bronzefield,0.0,45.0
2018-03-01,2018-03-23,Buckley Hall,prison,86515.0,409.0,381.0,431.0,414.0,buckley hall,28.0,50.0
2018-03-01,2018-03-23,Bullingdon,prison,86515.0,869.0,869.0,1114.0,1073.0,bullingdon,0.0,245.0
2018-03-01,2018-03-23,Bure,prison,86515.0,604.0,604.0,656.0,652.0,bure,0.0,52.0
2018-03-01,2018-03-23,Cardiff,prison,86515.0,539.0,522.0,803.0,706.0,cardiff,17.0,281.0
2018-03-01,2018-03-23,Channings Wood,prison,86515.0,698.0,698.0,724.0,679.0,channings wood,0.0,26.0
2018-03-01,2018-03-23,Chelmsford,prison,86515.0,551.0,521.0,715.0,686.0,chelmsford,30.0,194.0
2018-03-01,2018-03-23,Coldingley,prison,86515.0,493.0,474.0,492.0,484.0,coldingley,19.0,18.0
2018-03-01,2018-03-23,Cookham Wood,prison,86515.0,188.0,188.0,188.0,184.0,cookham wood,0.0,0.0
2018-03-01,2018-03-23,Dartmoor,prison,86515.0,642.0,640.0,640.0,630.0,dartmoor,2.0,0.0
2018-03-01,2018-03-23,Deerbolt,prison,86515.0,513.0,453.0,453.0,425.0,deerbolt,60.0,0.0
2018-03-01,2018-03-23,Doncaster,prison,86515.0,738.0,738.0,1145.0,1107.0,doncaster,0.0,407.0
2018-03-01,2018-03-23,Dovegate,prison,86515.0,1064.0,1062.0,1133.0,1120.0,dovegate,2.0,71.0
2018-03-01,2018-03-23,Downview,prison,86515.0,356.0,340.0,340.0,321.0,downview,16.0,0.0
2018-03-01,2018-03-23,Drake Hall,prison,86515.0,340.0,340.0,340.0,328.0,drake hall,0.0,0.0
2018-03-01,2018-03-23,Durham,prison,86515.0,595.0,595.0,996.0,927.0,durham,0.0,401.0
2018-03-01,2018-03-23,East Sutton Park,prison,86515.0,101.0,101.0,101.0,86.0,east sutton park,0.0,0.0
2018-03-01,2018-03-23,Eastwood Park,prison,86515.0,394.0,382.0,430.0,369.0,eastwood park,12.0,48.0
2018-03-01,2018-03-23,Elmley (Sheppey),prison,86515.0,1007.0,1007.0,1252.0,1224.0,elmley,0.0,245.0
2018-03-01,2018-03-23,Erlestoke,prison,86515.0,494.0,494.0,524.0,505.0,erlestoke,0.0,30.0
2018-03-01,2018-03-23,Exeter,prison,86515.0,326.0,288.0,531.0,416.0,exeter,38.0,243.0
2018-03-01,2018-03-23,Featherstone,prison,86515.0,671.0,671.0,687.0,662.0,featherstone,0.0,16.0
2018-03-01,2018-03-23,Feltham,prison,86515.0,768.0,568.0,568.0,494.0,feltham,200.0,0.0
2018-03-01,2018-03-23,Ford,prison,86515.0,521.0,521.0,531.0,526.0,ford,0.0,10.0
2018-03-01,2018-03-23,Forest Bank,prison,86515.0,1064.0,1064.0,1460.0,1445.0,forest bank,0.0,396.0
2018-03-01,2018-03-23,Foston Hall,prison,86515.0,302.0,302.0,342.0,319.0,foston hall,0.0,40.0
2018-03-01,2018-03-23,Frankland,prison,86515.0,859.0,844.0,844.0,795.0,frankland,15.0,0.0
2018-03-01,2018-03-23,Full Sutton,prison,86515.0,601.0,558.0,558.0,536.0,full sutton,43.0,0.0
2018-03-01,2018-03-23,Garth,prison,86515.0,810.0,810.0,845.0,832.0,garth,0.0,35.0
2018-03-01,2018-03-23,Gartree,prison,86515.0,708.0,708.0,714.0,701.0,gartree,0.0,6.0
2018-03-01,2018-03-23,Grendon / Springhill,prison,86515.0,586.0,561.0,561.0,536.0,grendon springhill,25.0,0.0
2018-03-01,2018-03-23,Guys Marsh,prison,86515.0,518.0,453.0,513.0,491.0,guys marsh,65.0,60.0
2018-03-01,2018-03-23,Hatfield,prison,86515.0,390.0,378.0,378.0,369.0,hatfield,12.0,0.0
2018-03-01,2018-03-23,Haverigg,prison,86515.0,622.0,289.0,309.0,277.0,haverigg,333.0,20.0
2018-03-01,2018-03-23,Hewell,prison,86515.0,1018.0,1018.0,1256.0,1104.0,hewell,0.0,238.0
2018-03-01,2018-03-23,High Down,prison,86515.0,999.0,999.0,1203.0,1119.0,high down,0.0,204.0
2018-03-01,2018-03-23,Highpoint (North and South),prison,86515.0,1311.0,1291.0,1325.0,1292.0,highpoint,20.0,34.0
2018-03-01,2018-03-23,Hindley,prison,86515.0,580.0,542.0,608.0,463.0,hindley,38.0,66.0
2018-03-01,2018-03-23,Hollesley Bay,prison,86515.0,481.0,471.0,480.0,460.0,hollesley bay,10.0,9.0
2018-03-01,2018-03-23,Holme House,prison,86515.0,1036.0,1036.0,1210.0,1194.0,holme house,0.0,174.0
2018-03-01,2018-03-23,Hull,prison,86515.0,723.0,723.0,1044.0,1024.0,hull,0.0,321.0
2018-03-01,2018-03-23,Humber,prison,86515.0,947.0,947.0,1062.0,1010.0,humber,0.0,115.0
2018-03-01,2018-03-23,Huntercombe,prison,86515.0,370.0,369.0,480.0,471.0,huntercombe,1.0,111.0
2018-03-01,2018-03-23,Isis,prison,86515.0,478.0,478.0,628.0,624.0,isis,0.0,150.0
2018-03-01,2018-03-23,Isle of Wight,prison,86515.0,1068.0,976.0,1096.0,1090.0,isle of wight,92.0,120.0
2018-03-01,2018-03-23,Kirkham,prison,86515.0,657.0,657.0,657.0,567.0,kirkham,0.0,0.0
2018-03-01,2018-03-23,Kirklevington Grange,prison,86515.0,283.0,283.0,283.0,267.0,kirklevington grange,0.0,0.0
2018-03-01,2018-03-23,Lancaster Farms,prison,86515.0,495.0,495.0,560.0,547.0,lancaster farms,0.0,65.0
2018-03-01,2018-03-23,Leeds,prison,86515.0,669.0,669.0,1212.0,1038.0,leeds,0.0,543.0
2018-03-01,2018-03-23,Leicester,prison,86515.0,214.0,208.0,411.0,304.0,leicester,6.0,203.0
2018-03-01,2018-03-23,Lewes,prison,86515.0,617.0,617.0,692.0,623.0,lewes,0.0,75.0
2018-03-01,2018-03-23,Leyhill,prison,86515.0,515.0,515.0,515.0,510.0,leyhill,0.0,0.0
2018-03-01,2018-03-23,Lincoln,prison,86515.0,408.0,403.0,729.0,601.0,lincoln,5.0,326.0
2018-03-01,2018-03-23,Lindholme,prison,86515.0,924.0,924.0,1010.0,966.0,lindholme,0.0,86.0
2018-03-01,2018-03-23,Littlehey,prison,86515.0,1154.0,1154.0,1220.0,1212.0,littlehey,0.0,66.0
2018-03-01,2018-03-23,Liverpool,prison,86515.0,1173.0,803.0,896.0,860.0,liverpool,370.0,93.0
2018-03-01,2018-03-23,Long Lartin,prison,86515.0,621.0,526.0,526.0,509.0,long lartin,95.0,0.0
2018-03-01,2018-03-23,Low Newton,prison,86515.0,314.0,313.0,352.0,334.0,low newton,1.0,39.0
2018-03-01,2018-03-23,Lowdham Grange,prison,86515.0,900.0,900.0,930.0,915.0,lowdham grange,0.0,30.0
2018-03-01,2018-03-23,Maidstone,prison,86515.0,565.0,565.0,600.0,540.0,maidstone,0.0,35.0
2018-03-01,2018-03-23,Manchester,prison,86515.0,967.0,958.0,1136.0,986.0,manchester,9.0,178.0
2018-03-01,2018-03-23,Moorland,prison,86515.0,943.0,943.0,1006.0,966.0,moorland,0.0,63.0
2018-03-01,2018-03-23,New Hall,prison,86515.0,392.0,371.0,425.0,377.0,new hall,21.0,54.0
2018-03-01,2018-03-23,North Sea Camp,prison,86515.0,420.0,420.0,420.0,414.0,north sea camp,0.0,0.0
2018-03-01,2018-03-23,Northumberland,prison,86515.0,1348.0,1348.0,1348.0,1325.0,northumberland,0.0,0.0
2018-03-01,2018-03-23,Norwich,prison,86515.0,616.0,616.0,773.0,717.0,norwich,0.0,157.0
2018-03-01,2018-03-23,Nottingham,prison,86515.0,723.0,723.0,1021.0,892.0,nottingham,0.0,298.0
2018-03-01,2018-03-23,Oakwood,prison,86515.0,1600.0,1600.0,2106.0,2100.0,oakwood,0.0,506.0
2018-03-01,2018-03-23,Onley,prison,86515.0,742.0,742.0,742.0,729.0,onley,0.0,0.0
2018-03-01,2018-03-23,Parc,prison,86515.0,1559.0,1559.0,1779.0,1700.0,parc,0.0,220.0
2018-03-01,2018-03-23,Pentonville,prison,86515.0,906.0,906.0,1310.0,1218.0,pentonville,0.0,404.0
2018-03-01,2018-03-23,Peterborough (Male & Female),prison,86515.0,1132.0,1119.0,1264.0,1190.0,peterborough,13.0,145.0
2018-03-01,2018-03-23,Portland,prison,86515.0,463.0,463.0,530.0,489.0,portland,0.0,67.0
2018-03-01,2018-03-23,Preston,prison,86515.0,433.0,433.0,811.0,670.0,preston,0.0,378.0
2018-03-01,2018-03-23,Ranby,prison,86515.0,893.0,832.0,1038.0,1022.0,ranby,61.0,206.0
2018-03-01,2018-03-23,Risley,prison,86515.0,1050.0,1027.0,1096.0,1062.0,risley,23.0,69.0
2018-03-01,2018-03-23,Rochester,prison,86515.0,802.0,695.0,695.0,682.0,rochester,107.0,0.0
2018-03-01,2018-03-23,Rye Hill,prison,86515.0,600.0,600.0,664.0,659.0,rye hill,0.0,64.0
2018-03-01,2018-03-23,Send,prison,86515.0,282.0,282.0,282.0,273.0,send,0.0,0.0
2018-03-01,2018-03-23,Stafford,prison,86515.0,741.0,741.0,751.0,744.0,stafford,0.0,10.0
2018-03-01,2018-03-23,Standford Hill (Sheppey),prison,86515.0,464.0,464.0,464.0,461.0,standford hill,0.0,0.0
2018-03-01,2018-03-23,Stocken,prison,86515.0,768.0,768.0,853.0,818.0,stocken,0.0,85.0
2018-03-01,2018-03-23,Stoke Heath,prison,86515.0,662.0,662.0,782.0,779.0,stoke heath,0.0,120.0
2018-03-01,2018-03-23,Styal,prison,86515.0,480.0,471.0,486.0,463.0,styal,9.0,15.0
2018-03-01,2018-03-23,Sudbury,prison,86515.0,581.0,581.0,581.0,569.0,sudbury,0.0,0.0
2018-03-01,2018-03-23,Swaleside (Sheppey),prison,86515.0,1112.0,1059.0,1059.0,1011.0,swaleside,53.0,0.0
2018-03-01,2018-03-23,Swansea,prison,86515.0,268.0,268.0,497.0,366.0,swansea,0.0,229.0
2018-03-01,2018-03-23,Swinfen Hall,prison,86515.0,604.0,574.0,594.0,577.0,swinfen hall,30.0,20.0
2018-03-01,2018-03-23,Thameside,prison,86515.0,932.0,932.0,1232.0,1208.0,thameside,0.0,300.0
2018-03-01,2018-03-23,The Mount,prison,86515.0,1008.0,999.0,1028.0,987.0,the mount,9.0,29.0
2018-03-01,2018-03-23,The Verne,prison,86515.0,570.0,,,,the verne,,
2018-03-01,2018-03-23,Thorn Cross,prison,86515.0,381.0,381.0,387.0,379.0,thorn cross,0.0,6.0
2018-03-01,2018-03-23,Usk / Prescoed,prison,86515.0,378.0,378.0,536.0,521.0,usk prescoed,0.0,158.0
2018-03-01,2018-03-23,Wakefield,prison,86515.0,750.0,750.0,750.0,712.0,wakefield,0.0,0.0
2018-03-01,2018-03-23,Wandsworth,prison,86515.0,963.0,841.0,1452.0,1373.0,wandsworth,122.0,611.0
2018-03-01,2018-03-23,Warren Hill,prison,86515.0,264.0,258.0,258.0,248.0,warren hill,6.0,0.0
2018-03-01,2018-03-23,Wayland,prison,86515.0,958.0,865.0,934.0,929.0,wayland,93.0,69.0
2018-03-01,2018-03-23,Wealstun,prison,86515.0,810.0,809.0,832.0,801.0,wealstun,1.0,23.0
2018-03-01,2018-03-23,Werrington,prison,86515.0,118.0,118.0,128.0,110.0,werrington,0.0,10.0
2018-03-01,2018-03-23,Wetherby,prison,86515.0,408.0,336.0,336.0,222.0,wetherby,72.0,0.0
2018-03-01,2018-03-23,Whatton,prison,86515.0,775.0,769.0,841.0,832.0,whatton,6.0,72.0
2018-03-01,2018-03-23,Whitemoor,prison,86515.0,473.0,458.0,458.0,438.0,whitemoor,15.0,0.0
2018-03-01,2018-03-23,Winchester,prison,86515.0,469.0,458.0,674.0,629.0,winchester,11.0,216.0
2018-03-01,2018-03-23,Woodhill,prison,86515.0,635.0,539.0,637.0,622.0,woodhill,96.0,98.0
2018-03-01,2018-03-23,Wormwood Scrubs,prison,86515.0,1156.0,1136.0,1259.0,1215.0,wormwood scrubs,20.0,123.0
2018-03-01,2018-03-23,Wymott,prison,86515.0,1099.0,1099.0,1169.0,1156.0,wymott,0.0,70.0
2018-03-01,2018-03-23,Morton Hall (IRC),irc,86515.0,392.0,392.0,392.0,365.0,morton hall,0.0,0.0
2018-04-01,2018-04-27,Altcourse,prison,86521.0,794.0,794.0,1184.0,1166.0,altcourse,0.0,390.0
2018-04-01,2018-04-27,Ashfield,prison,86521.0,416.0,416.0,412.0,406.0,ashfield,0.0,-4.0
2018-04-01,2018-04-27,Askham Grange,prison,86521.0,150.0,126.0,128.0,114.0,askham grange,24.0,2.0
2018-04-01,2018-04-27,Aylesbury,prison,86521.0,410.0,410.0,444.0,423.0,aylesbury,0.0,34.0
2018-04-01,2018-04-27,Bedford,prison,86521.0,317.0,317.0,486.0,444.0,bedford,0.0,169.0
2018-04-01,2018-04-27,Belmarsh,prison,86521.0,760.0,760.0,906.0,829.0,belmarsh,0.0,146.0
2018-04-01,2018-04-27,Berwyn,prison,86521.0,1030.0,1030.0,1030.0,999.0,berwyn,0.0,0.0
2018-04-01,2018-04-27,Birmingham,prison,86521.0,1093.0,982.0,1334.0,1294.0,birmingham,111.0,352.0
2018-04-01,2018-04-27,Blantyre House,prison,86521.0,122.0,0.0,0.0,,blantyre house,122.0,0.0
2018-04-01,2018-04-27,Brinsford,prison,86521.0,545.0,529.0,570.0,515.0,brinsford,16.0,41.0
2018-04-01,2018-04-27,Bristol,prison,86521.0,425.0,395.0,602.0,498.0,bristol,30.0,207.0
2018-04-01,2018-04-27,Brixton,prison,86521.0,529.0,529.0,798.0,759.0,brixton,0.0,269.0
2018-04-01,2018-04-27,Bronzefield,prison,86521.0,527.0,527.0,572.0,530.0,bronzefield,0.0,45.0
2018-04-01,2018-04-27,Buckley Hall,prison,86521.0,409.0,349.0,399.0,394.0,buckley hall,60.0,50.0
2018-04-01,2018-04-27,Bullingdon,prison,86521.0,869.0,869.0,1114.0,1097.0,bullingdon,0.0,245.0
2018-04-01,2018-04-27,Bure,prison,86521.0,604.0,604.0,656.0,650.0,bure,0.0,52.0
2018-04-01,2018-04-27,Cardiff,prison,86521.0,518.0,518.0,799.0,716.0,cardiff,0.0,281.0
2018-04-01,2018-04-27,Channings Wood,prison,86521.0,698.0,698.0,724.0,688.0,channings wood,0.0,26.0
2018-04-01,2018-04-27,Chelmsford,prison,86521.0,551.0,521.0,715.0,694.0,chelmsford,30.0,194.0
2018-04-01,2018-04-27,Coldingley,prison,86521.0,493.0,459.0,477.0,455.0,coldingley,34.0,18.0
2018-04-01,2018-04-27,Cookham Wood,prison,86521.0,188.0,188.0,188.0,164.0,cookham wood,0.0,0.0
2018-04-01,2018-04-27,Dartmoor,prison,86521.0,642.0,640.0,640.0,635.0,dartmoor,2.0,0.0
2018-04-01,2018-04-27,Deerbolt,prison,86521.0,513.0,453.0,453.0,415.0,deerbolt,60.0,0.0
2018-04-01,2018-04-27,Doncaster,prison,86521.0,738.0,738.0,1145.0,1093.0,doncaster,0.0,407.0
2018-04-01,2018-04-27,Dovegate,prison,86521.0,1064.0,1062.0,1160.0,1134.0,dovegate,2.0,98.0
2018-04-01,2018-04-27,Downview,prison,86521.0,368.0,340.0,340.0,328.0,downview,28.0,0.0
2018-04-01,2018-04-27,Drake Hall,prison,86521.0,340.0,340.0,340.0,334.0,drake hall,0.0,0.0
2018-04-01,2018-04-27,Durham,prison,86521.0,595.0,595.0,996.0,902.0,durham,0.0,401.0
2018-04-01,2018-04-27,East Sutton Park,prison,86521.0,101.0,101.0,101.0,83.0,east sutton park,0.0,0.0
2018-04-01,2018-04-27,Eastwood Park,prison,86521.0,406.0,382.0,430.0,377.0,eastwood park,24.0,48.0
2018-04-01,2018-04-27,Elmley (Sheppey),prison,86521.0,1007.0,1007.0,1252.0,1209.0,elmley,0.0,245.0
2018-04-01,2018-04-27,Erlestoke,prison,86521.0,494.0,494.0,524.0,508.0,erlestoke,0.0,30.0
2018-04-01,2018-04-27,Exeter,prison,86521.0,326.0,301.0,544.0,442.0,exeter,25.0,243.0
2018-04-01,2018-04-27,Featherstone,prison,86521.0,671.0,671.0,687.0,644.0,featherstone,0.0,16.0
2018-04-01,2018-04-27,Feltham,prison,86521.0,768.0,568.0,568.0,466.0,feltham,200.0,0.0
2018-04-01,2018-04-27,Ford,prison,86521.0,521.0,521.0,541.0,536.0,ford,0.0,20.0
2018-04-01,2018-04-27,Forest Bank,prison,86521.0,1064.0,1064.0,1460.0,1456.0,forest bank,0.0,396.0
2018-04-01,2018-04-27,Foston Hall,prison,86521.0,302.0,302.0,342.0,304.0,foston hall,0.0,40.0
2018-04-01,2018-04-27,Frankland,prison,86521.0,859.0,844.0,844.0,813.0,frankland,15.0,0.0
2018-04-01,2018-04-27,Full Sutton,prison,86521.0,594.0,558.0,558.0,530.0,full sutton,36.0,0.0
2018-04-01,2018-04-27,Garth,prison,86521.0,810.0,810.0,845.0,827.0,garth,0.0,35.0
2018-04-01,2018-04-27,Gartree,prison,86521.0,708.0,708.0,708.0,702.0,gartree,0.0,0.0
2018-04-01,2018-04-27,Grendon / Springhill,prison,86521.0,586.0,559.0,559.0,535.0,grendon springhill,27.0,0.0
2018-04-01,2018-04-27,Guys Marsh,prison,86521.0,518.0,417.0,477.0,451.0,guys marsh,101.0,60.0
2018-04-01,2018-04-27,Hatfield,prison,86521.0,390.0,378.0,378.0,372.0,hatfield,12.0,0.0
2018-04-01,2018-04-27,Haverigg,prison,86521.0,622.0,289.0,309.0,292.0,haverigg,333.0,20.0
2018-04-01,2018-04-27,Hewell,prison,86521.0,1018.0,1018.0,1256.0,1112.0,hewell,0.0,238.0
2018-04-01,2018-04-27,High Down,prison,86521.0,999.0,999.0,1203.0,1147.0,high down,0.0,204.0
2018-04-01,2018-04-27,Highpoint (North and South),prison,86521.0,1311.0,1291.0,1325.0,1284.0,highpoint,20.0,34.0
2018-04-01,2018-04-27,Hindley,prison,86521.0,580.0,540.0,606.0,464.0,hindley,40.0,66.0
2018-04-01,2018-04-27,Hollesley Bay,prison,86521.0,481.0,471.0,480.0,465.0,hollesley bay,10.0,9.0
2018-04-01,2018-04-27,Holme House,prison,86521.0,1036.0,1036.0,1210.0,1187.0,holme house,0.0,174.0
2018-04-01,2018-04-27,Hull,prison,86521.0,723.0,723.0,1044.0,1000.0,hull,0.0,321.0
2018-04-01,2018-04-27,Humber,prison,86521.0,947.0,929.0,1044.0,1011.0,humber,18.0,115.0
2018-04-01,2018-04-27,Huntercombe,prison,86521.0,370.0,369.0,480.0,465.0,huntercombe,1.0,111.0
2018-04-01,2018-04-27,Isis,prison,86521.0,478.0,478.0,628.0,620.0,isis,0.0,150.0
2018-04-01,2018-04-27,Isle of Wight,prison,86521.0,1068.0,976.0,1096.0,1092.0,isle of wight,92.0,120.0
2018-04-01,2018-04-27,Kirkham,prison,86521.0,657.0,657.0,657.0,565.0,kirkham,0.0,0.0
2018-04-01,2018-04-27,Kirklevington Grange,prison,86521.0,283.0,283.0,283.0,264.0,kirklevington grange,0.0,0.0
2018-04-01,2018-04-27,Lancaster Farms,prison,86521.0,495.0,495.0,560.0,552.0,lancaster farms,0.0,65.0
2018-04-01,2018-04-27,Leeds,prison,86521.0,669.0,669.0,1212.0,1028.0,leeds,0.0,543.0
2018-04-01,2018-04-27,Leicester,prison,86521.0,214.0,208.0,411.0,289.0,leicester,6.0,203.0
2018-04-01,2018-04-27,Lewes,prison,86521.0,617.0,617.0,692.0,616.0,lewes,0.0,75.0
2018-04-01,2018-04-27,Leyhill,prison,86521.0,515.0,515.0,515.0,514.0,leyhill,0.0,0.0
2018-04-01,2018-04-27,Lincoln,prison,86521.0,408.0,403.0,729.0,582.0,lincoln,5.0,326.0
2018-04-01,2018-04-27,Lindholme,prison,86521.0,924.0,924.0,1010.0,985.0,lindholme,0.0,86.0
2018-04-01,2018-04-27,Littlehey,prison,86521.0,1154.0,1154.0,1220.0,1213.0,littlehey,0.0,66.0
2018-04-01,2018-04-27,Liverpool,prison,86521.0,1173.0,803.0,896.0,871.0,liverpool,370.0,93.0
2018-04-01,2018-04-27,Long Lartin,prison,86521.0,621.0,520.0,520.0,482.0,long lartin,101.0,0.0
2018-04-01,2018-04-27,Low Newton,prison,86521.0,314.0,313.0,352.0,336.0,low newton,1.0,39.0
2018-04-01,2018-04-27,Lowdham Grange,prison,86521.0,900.0,900.0,920.0,917.0,lowdham grange,0.0,20.0
2018-04-01,2018-04-27,Maidstone,prison,86521.0,565.0,565.0,600.0,580.0,maidstone,0.0,35.0
2018-04-01,2018-04-27,Manchester,prison,86521.0,967.0,958.0,1136.0,978.0,manchester,9.0,178.0
2018-04-01,2018-04-27,Moorland,prison,86521.0,943.0,943.0,1006.0,940.0,moorland,0.0,63.0
2018-04-01,2018-04-27,New Hall,prison,86521.0,392.0,371.0,425.0,369.0,new hall,21.0,54.0
2018-04-01,2018-04-27,North Sea Camp,prison,86521.0,420.0,420.0,420.0,414.0,north sea camp,0.0,0.0
2018-04-01,2018-04-27,Northumberland,prison,86521.0,1348.0,1348.0,1348.0,1330.0,northumberland,0.0,0.0
2018-04-01,2018-04-27,Norwich,prison,86521.0,616.0,616.0,773.0,746.0,norwich,0.0,157.0
2018-04-01,2018-04-27,Nottingham,prison,86521.0,723.0,723.0,1051.0,893.0,nottingham,0.0,328.0
2018-04-01,2018-04-27,Oakwood,prison,86521.0,1600.0,1600.0,2106.0,2047.0,oakwood,0.0,506.0
2018-04-01,2018-04-27,Onley,prison,86521.0,742.0,742.0,742.0,724.0,onley,0.0,0.0
2018-04-01,2018-04-27,Parc,prison,86521.0,1559.0,1559.0,1779.0,1665.0,parc,0.0,220.0
2018-04-01,2018-04-27,Pentonville,prison,86521.0,906.0,906.0,1310.0,1225.0,pentonville,0.0,404.0
2018-04-01,2018-04-27,Peterborough (Male & Female),prison,86521.0,1132.0,1119.0,1264.0,1177.0,peterborough,13.0,145.0
2018-04-01,2018-04-27,Portland,prison,86521.0,463.0,463.0,530.0,510.0,portland,0.0,67.0
2018-04-01,2018-04-27,Preston,prison,86521.0,433.0,433.0,811.0,665.0,preston,0.0,378.0
2018-04-01,2018-04-27,Ranby,prison,86521.0,893.0,832.0,1038.0,1008.0,ranby,61.0,206.0
2018-04-01,2018-04-27,Risley,prison,86521.0,1050.0,1027.0,1096.0,1053.0,risley,23.0,69.0
2018-04-01,2018-04-27,Rochester,prison,86521.0,802.0,695.0,695.0,683.0,rochester,107.0,0.0
2018-04-01,2018-04-27,Rye Hill,prison,86521.0,600.0,600.0,664.0,661.0,rye hill,0.0,64.0
2018-04-01,2018-04-27,Send,prison,86521.0,282.0,282.0,282.0,269.0,send,0.0,0.0
2018-04-01,2018-04-27,Stafford,prison,86521.0,741.0,741.0,751.0,743.0,stafford,0.0,10.0
2018-04-01,2018-04-27,Standford Hill (Sheppey),prison,86521.0,464.0,464.0,464.0,456.0,standford hill,0.0,0.0
2018-04-01,2018-04-27,Stocken,prison,86521.0,768.0,768.0,853.0,789.0,stocken,0.0,85.0
2018-04-01,2018-04-27,Stoke Heath,prison,86521.0,662.0,662.0,782.0,747.0,stoke heath,0.0,120.0
2018-04-01,2018-04-27,Styal,prison,86521.0,480.0,471.0,486.0,447.0,styal,9.0,15.0
2018-04-01,2018-04-27,Sudbury,prison,86521.0,581.0,581.0,581.0,574.0,sudbury,0.0,0.0
