date,date_in_file,date_title,layout,pop_total,pop_prisons,pop_irc,pop_male,pop_female,uoc_total,uoc_prisons,uoc_irc,headroom,headroom_calc,operating_margin,hdc,police_cells,ya_pop_total,ya_uoc_total,title,url,local,error
2011-08-05,2011-08-05,2011-08-05,D2,85523.0,84884.0,639.0,81354.0,4169.0,88039.0,87159.0,880.0,2516.0,2516.0,2000.0,2769.0,,,,Population Bulletin - Weekly 5 August 2011,https://assets.publishing.service.gov.uk/media/5a748599ed915d0e8e398dc0/prison-populaton-5-aug-2011.doc,raw/weekly_doc_txt/5a748599ed915d0e8e398dc0_prison-populaton-5-aug-2011.html,
2011-08-19,2011-08-19,2011-08-19,D2,86654.0,86054.0,600.0,82392.0,4262.0,88093.0,87209.0,884.0,1439.0,1439.0,2000.0,2771.0,,,,Population Bulletin - Weekly 19 August 2011,https://assets.publishing.service.gov.uk/media/5a74996940f0b616bcb17ca3/prison-population-19-aug-2011.doc,raw/weekly_doc_txt/5a74996940f0b616bcb17ca3_prison-population-19-aug-2011.html,
2011-11-18,2011-11-18,2011-11-18,D2,88115.0,87241.0,874.0,83907.0,4208.0,89336.0,88344.0,992.0,1221.0,1221.0,2000.0,2696.0,,,,Population Bulletin - Weekly 18 November 2011,https://assets.publishing.service.gov.uk/media/5a74aa38ed915d7ab83b58bd/prison-population-18-11-11.doc,raw/weekly_doc_txt/5a74aa38ed915d7ab83b58bd_prison-population-18-11-11.html,
2011-06-24,2011-06-24,2011-06-24,D2,85266.0,84635.0,632.0,81103.0,4163.0,87902.0,87148.0,754.0,2636.0,2636.0,2000.0,2732.0,,,,Population Bulletin - Weekly 24 June 2011,https://assets.publishing.service.gov.uk/media/5a74b36840f0b61df4777c43/prison-population-24-june-2011.doc,raw/weekly_doc_txt/5a74b36840f0b61df4777c43_prison-population-24-june-2011.html,
2011-01-21,2011-01-21,2011-01-21,D1,83780.0,,,79727.0,4053.0,88000.0,,,4220.0,4220.0,2000.0,2661.0,,83151.0,86324.0,Population Bulletin - Weekly 21 January 2011,https://assets.publishing.service.gov.uk/media/5a74d3ebed915d3c7d52841a/10004C3621012011_web_report.doc,raw/weekly_doc_txt/5a74d3ebed915d3c7d52841a_10004C3621012011_web_report.html,
2011-01-07,2007-11-09,2011-01-07,D1,82991.0,,,79009.0,3982.0,87936.0,,,4945.0,4945.0,2000.0,2696.0,,82653.0,86196.0,Population Bulletin - Weekly 07 January 2011,https://assets.publishing.service.gov.uk/media/5a75bd65e5274a43682999b5/10004C3107012011_web_report.doc,raw/weekly_doc_txt/5a75bd65e5274a43682999b5_10004C3107012011_web_report.html,
2011-02-11,2007-11-09,2011-02-11,D1,84785.0,,,80640.0,4145.0,88141.0,,,3356.0,3356.0,2000.0,2550.0,,83755.0,86351.0,Population Bulletin - Weekly 11 February 2011,https://assets.publishing.service.gov.uk/media/5a7b8058ed915d131105fa64/10004C4511022011_web_report.doc,raw/weekly_doc_txt/5a7b8058ed915d131105fa64_10004C4511022011_web_report.html,
2011-01-14,2007-11-09,2011-01-14,D1,83305.0,,,79293.0,4012.0,87970.0,,,4665.0,4665.0,2000.0,2665.0,,82761.0,86290.0,Population Bulletin - Weekly 14 January 2011,https://assets.publishing.service.gov.uk/media/5a7b856be5274a7318b8f32a/10004C3414012011_web_report.doc,raw/weekly_doc_txt/5a7b856be5274a7318b8f32a_10004C3414012011_web_report.html,
2011-06-17,2011-06-17,2011-06-17,D2,85345.0,84714.0,652.0,81161.0,4184.0,87914.0,87160.0,754.0,2569.0,2569.0,2000.0,2732.0,,,,Population Bulletin - Weekly 17 June 2011,https://assets.publishing.service.gov.uk/media/5a7b8797ed915d131105fd76/prison-population-17-june-2011.doc,raw/weekly_doc_txt/5a7b8797ed915d131105fd76_prison-population-17-june-2011.html,
2011-11-11,2011-11-11,2011-11-11,D2,87945.0,87102.0,843.0,83736.0,4209.0,89255.0,88263.0,992.0,1310.0,1310.0,2000.0,2706.0,,,,Population Bulletin - Weekly 11 November 2011,https://assets.publishing.service.gov.uk/media/5a7b8abd40f0b62826a04400/prison-population-11-11-11.doc,raw/weekly_doc_txt/5a7b8abd40f0b62826a04400_prison-population-11-11-11.html,
2011-07-01,2011-07-01,2011-07-01,D2,85376.0,84736.0,640.0,81187.0,4189.0,87955.0,87147.0,808.0,2579.0,2579.0,2000.0,2751.0,,,,Population Bulletin - Weekly 01 July 2011,https://assets.publishing.service.gov.uk/media/5a7b9b36e5274a7202e18420/prison-population-01-july-2011.doc,raw/weekly_doc_txt/5a7b9b36e5274a7202e18420_prison-population-01-july-2011.html,
