date,prev_date,pop_total,prev_pop,lw_pop_total,pop_lw_diff,uoc_total,prev_uoc,lw_uoc_total,uoc_lw_diff,title
2011-12-16,2011-12-09,87960.0,88070.0,88070.0,0.0,89482.0,89413.0,89413.0,0.0,Population Bulletin - Weekly 16 December 2011
2011-12-23,2011-12-16,87393.0,87960.0,87960.0,0.0,89477.0,89482.0,89482.0,0.0,Population Bulletin - Weekly 23 December 2011
2011-12-30,2011-12-23,86778.0,87393.0,87393.0,0.0,89472.0,89477.0,89477.0,0.0,Population Bulletin - Weekly 30 December 2011
2012-01-06,2011-12-30,86638.0,86778.0,86778.0,0.0,89503.0,89472.0,89472.0,0.0,Population Bulletin - Weekly 06 January 2012
2012-01-13,2012-01-06,86896.0,86638.0,86638.0,0.0,89463.0,89503.0,89503.0,0.0,Population Bulletin - Weekly 13 January 2012
2012-01-20,2012-01-13,87261.0,86896.0,86896.0,0.0,89441.0,89463.0,89463.0,0.0,Population Bulletin - Weekly 20 January 2012
2012-01-27,2012-01-20,87668.0,87261.0,87261.0,0.0,89399.0,89441.0,89441.0,0.0,Population Bulletin - Weekly 27 January 2012
2012-02-03,2012-01-27,87844.0,87668.0,87668.0,0.0,89260.0,89399.0,89399.0,0.0,Population Bulletin - Weekly 3 February 2012
2012-02-10,2012-02-03,87694.0,87844.0,87844.0,0.0,89256.0,89260.0,89260.0,0.0,Population Bulletin - Weekly 10 February 2012
2012-02-17,2012-02-10,87631.0,87694.0,87694.0,0.0,89295.0,89256.0,89256.0,0.0,Population Bulletin - Weekly 17 February 2012
2012-02-24,2012-02-17,87583.0,87631.0,87631.0,0.0,89335.0,89295.0,89295.0,0.0,Population bulletin - Weekly 24 February 2012
2012-03-02,2012-02-24,87787.0,87583.0,87583.0,0.0,89302.0,89335.0,89335.0,0.0,Population bulletin - Weekly 2 March 2012
2012-03-09,2012-03-02,87654.0,87787.0,87787.0,0.0,89359.0,89302.0,89302.0,0.0,Population bulletin - Weekly 9 March 2012
