date,filled,pop_total,uoc_total,t,margin,gross_cap,headroom,d_cap,d_pop,hr26,d_pop_lag
2011-01-07,False,82991.0,87936.0,0,2000.0,89936.0,4945.0,,,,
2011-01-14,False,83305.0,87970.0,1,2000.0,89970.0,4665.0,,,,
2011-01-21,False,83780.0,88000.0,2,2000.0,90000.0,4220.0,,,,
2011-01-28,False,84145.0,88009.0,3,2000.0,90009.0,3864.0,,,,
2011-02-04,False,84469.0,88075.0,4,2000.0,90075.0,3606.0,,,,
2011-02-11,False,84785.0,88141.0,5,2000.0,90141.0,3356.0,,,,
2011-02-18,False,85072.0,88183.0,6,2000.0,90183.0,3111.0,,,,
2011-02-25,False,85206.0,88286.0,7,2000.0,90286.0,3080.0,,,,
2011-03-04,False,85342.0,88338.0,8,2000.0,90338.0,2996.0,,,,
2011-03-11,False,85381.0,88448.0,9,2000.0,90448.0,3067.0,,,,
2011-03-18,False,85419.0,88480.0,10,2000.0,90480.0,3061.0,,,,
2011-03-25,False,85454.0,87690.0,11,2000.0,89690.0,2236.0,,,,
2011-04-01,False,85447.0,87717.0,12,2000.0,89717.0,2270.0,,,,
2011-04-08,False,85361.0,87729.0,13,2000.0,89729.0,2368.0,-207.0,2370.0,,
2011-04-15,False,85439.0,87759.0,14,2000.0,89759.0,2320.0,-211.0,2134.0,,
2011-04-22,True,85166.33333333333,87753.33333333333,15,2000.0,89753.33333333333,2587.0,-246.66666666667152,1386.3333333333285,,
2011-04-29,True,84893.66666666667,87747.66666666667,16,2000.0,89747.66666666667,2854.0,-261.3333333333285,748.6666666666715,,
2011-05-06,False,84621.0,87742.0,17,2000.0,89742.0,3121.0,-333.0,152.0,,
2011-05-13,False,84761.0,87735.0,18,2000.0,89735.0,2974.0,-406.0,-24.0,,
2011-05-20,False,84928.0,87787.0,19,2000.0,89787.0,2859.0,-396.0,-144.0,,
2011-05-27,False,85136.0,87837.0,20,2000.0,89837.0,2701.0,-449.0,-70.0,,
2011-06-03,False,85106.0,87812.0,21,2000.0,89812.0,2706.0,-526.0,-236.0,,
2011-06-10,False,85224.0,87871.0,22,2000.0,89871.0,2647.0,-577.0,-157.0,,
2011-06-17,False,85345.0,87914.0,23,2000.0,89914.0,2569.0,-566.0,-74.0,,
