date,pop_total,pop_prisons,pop_irc,pop_male,pop_female,pop_adult_male,pop_ycs,irc_in_total,uoc_total,uoc_prisons,uoc_irc,uoc_adult_male,uoc_female,uoc_ycs,headroom,headroom_published,headroom_calc,operating_margin,operating_margin_adult_male,operating_margin_female,operating_margin_ycs,hdc,layout,date_source,title,url,source,police_cells,week_gap_days
2011-01-07,82991.0,,,79009.0,3982.0,,,False,87936.0,,,,,,4945.0,,4945.0,2000.0,,,,2696.0,D1,title,Population Bulletin - Weekly 07 January 2011,https://assets.publishing.service.gov.uk/media/5a75bd65e5274a43682999b5/10004C3107012011_web_report.doc,bulletin_word_2011,,
2011-01-14,83305.0,,,79293.0,4012.0,,,False,87970.0,,,,,,4665.0,,4665.0,2000.0,,,,2665.0,D1,title,Population Bulletin - Weekly 14 January 2011,https://assets.publishing.service.gov.uk/media/5a7b856be5274a7318b8f32a/10004C3414012011_web_report.doc,bulletin_word_2011,,7.0
2011-01-21,83780.0,,,79727.0,4053.0,,,False,88000.0,,,,,,4220.0,,4220.0,2000.0,,,,2661.0,D1,title,Population Bulletin - Weekly 21 January 2011,https://assets.publishing.service.gov.uk/media/5a74d3ebed915d3c7d52841a/10004C3621012011_web_report.doc,bulletin_word_2011,,7.0
2011-01-28,84145.0,,,80079.0,4066.0,,,False,88009.0,,,,,,3864.0,,3864.0,2000.0,,,,2639.0,D1,title,Population Bulletin - Weekly 28 January 2011,https://assets.publishing.service.gov.uk/media/5a7c60f5e5274a7ee256710a/10004C3B28012011_web_report.doc,bulletin_word_2011,,7.0
2011-02-04,84469.0,,,80330.0,4139.0,,,False,88075.0,,,,,,3606.0,,3606.0,2000.0,,,,2626.0,D1,title,Population Bulletin - Weekly 04 February 2011,https://assets.publishing.service.gov.uk/media/5a7cad93ed915d6969f46921/10004C4204022011_web_report.doc,bulletin_word_2011,,7.0
2011-02-11,84785.0,,,80640.0,4145.0,,,False,88141.0,,,,,,3356.0,,3356.0,2000.0,,,,2550.0,D1,title,Population Bulletin - Weekly 11 February 2011,https://assets.publishing.service.gov.uk/media/5a7b8058ed915d131105fa64/10004C4511022011_web_report.doc,bulletin_word_2011,,7.0
2011-02-18,85072.0,,,80886.0,4186.0,,,False,88183.0,,,,,,3111.0,,3111.0,2000.0,,,,2622.0,D1,title,Population Bulletin - Weekly 18 February 2011,https://assets.publishing.service.gov.uk/media/5a7c7ffc40f0b62aff6c21ba/10004C5C18022011_web_report.doc,bulletin_word_2011,,7.0
2011-02-25,85206.0,,,80985.0,4221.0,,,False,88286.0,,,,,,3080.0,,3080.0,2000.0,,,,2638.0,D1,title,Population Bulletin - Weekly 25 February 2011,https://assets.publishing.service.gov.uk/media/5a7ce9e540f0b6629523c91a/10004C5F25022011_web_report.doc,bulletin_word_2011,,7.0
2011-03-04,85342.0,,,81089.0,4253.0,,,False,88338.0,,,,,,2996.0,,2996.0,2000.0,,,,2667.0,D1,title,Population Bulletin - Weekly 04 March 2011,https://assets.publishing.service.gov.uk/media/5a7c7ba8e5274a559005a2b9/10004C6604032011_web_report.doc,bulletin_word_2011,,7.0
2011-03-11,85381.0,,,81105.0,4276.0,,,False,88448.0,,,,,,3067.0,,3067.0,2000.0,,,,2699.0,D1,title,Population Bulletin - Weekly 11 March 2011,https://assets.publishing.service.gov.uk/media/5a7cd348ed915d63cc65d0f0/10004C6C11032011_web_report.doc,bulletin_word_2011,,7.0
2011-03-18,85419.0,,,81156.0,4263.0,,,False,88480.0,,,,,,3061.0,,3061.0,2000.0,,,,2689.0,D1,title,Population Bulletin - Weekly 18 March 2011,https://assets.publishing.service.gov.uk/media/5a7c1a66ed915d210ade1998/10004C7B18032011_web_report.doc,bulletin_word_2011,,7.0
