,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Indictable | Indictable offences total,19.2,19.6,21.1,21.3,21.0,19.4,24.1,23.0,23.3,22.1,22.3
Indictable | Violence against the person,22.5,22.5,24.8,24.1,22.6,17.1,21.1,20.4,21.7,21.2,23.5
Indictable | Sexual offences,61.2,61.6,66.7,68.6,65.8,60.9,70.3,67.2,69.9,72.7,73.9
Indictable | Robbery,43.0,46.5,48.3,50.4,51.5,44.2,49.1,47.3,46.0,45.2,43.7
Indictable | Theft offences,9.1,9.1,10.3,10.5,11.0,11.9,12.3,10.5,8.7,8.0,7.8
Indictable | Criminal damage and arson,24.4,27.8,26.9,29.9,29.0,24.9,30.5,29.5,28.3,26.5,26.8
Indictable | Drug offences,34.3,34.4,35.0,36.5,36.1,33.0,37.8,39.1,40.9,40.1,39.3
Indictable | Possession of weapons,13.7,13.7,12.9,12.0,11.6,11.8,13.4,12.9,12.8,13.1,12.8
Indictable | Public order offences,6.8,6.6,6.9,7.2,7.6,7.6,8.5,8.9,8.4,9.8,8.7
Indictable | Miscellaneous crimes against society,10.9,10.8,11.5,11.7,11.7,10.9,12.2,12.0,13.6,13.9,14.6
Indictable | Fraud offences,18.0,18.9,17.9,20.9,17.8,15.0,20.5,20.0,22.4,21.2,22.1
Summary | Summary offences total,2.6,2.6,2.6,2.6,2.7,2.5,2.6,2.5,2.4,2.4,2.4
Summary | Summary non-motoring,2.5,2.5,2.5,2.5,2.6,2.4,2.5,2.4,2.2,2.3,2.2
Summary | Summary motoring,3.0,3.0,3.0,2.9,3.0,2.8,2.8,2.8,2.7,2.7,2.7
All offence types | All offence types total,16.3,16.7,18.3,18.5,18.7,17.2,21.3,20.5,21.0,20.0,20.1
