month,new_prisons,rest_of_estate,total,entered,exited,fy
2018-04-01,0.0,6.0,6.0,0.0,-0.0,2018
2018-05-01,0.0,34.0,34.0,0.0,-0.0,2018
2018-06-01,0.0,-64.0,-64.0,0.0,-0.0,2018
2018-07-01,0.0,-173.0,-173.0,0.0,-0.0,2018
2018-08-01,0.0,-575.0,-575.0,0.0,-0.0,2018
2018-09-01,0.0,-290.0,-290.0,0.0,-0.0,2018
2018-10-01,0.0,111.0,111.0,0.0,-0.0,2018
2018-11-01,0.0,-302.0,-302.0,0.0,-0.0,2018
2018-12-01,0.0,-62.0,-62.0,0.0,-0.0,2018
2019-01-01,0.0,-121.0,-121.0,0.0,-0.0,2018
2019-02-01,0.0,-72.0,-72.0,0.0,-0.0,2018
2019-03-01,0.0,-142.0,-142.0,0.0,-0.0,2018
2019-04-01,0.0,-109.0,-109.0,0.0,-0.0,2019
2019-05-01,0.0,4.0,4.0,0.0,-0.0,2019
2019-06-01,0.0,296.0,296.0,0.0,-0.0,2019
2019-07-01,0.0,75.0,75.0,0.0,-0.0,2019
2019-08-01,0.0,-67.0,-67.0,0.0,-0.0,2019
2019-09-01,0.0,-148.0,-148.0,0.0,-0.0,2019
2019-10-01,0.0,137.0,137.0,0.0,-0.0,2019
2019-11-01,0.0,214.0,214.0,0.0,-0.0,2019
2019-12-01,0.0,-45.0,-45.0,0.0,-0.0,2019
2020-01-01,0.0,-173.0,-173.0,0.0,-0.0,2019
2020-02-01,0.0,-12.0,-12.0,0.0,-0.0,2019
2020-03-01,0.0,546.0,546.0,0.0,-0.0,2019
2020-04-01,0.0,-78.0,-78.0,0.0,-0.0,2020
2020-05-01,0.0,-2618.0,-2618.0,0.0,-0.0,2020
2020-06-01,0.0,-138.0,-138.0,0.0,-0.0,2020
2020-07-01,0.0,6.0,6.0,0.0,-0.0,2020
2020-08-01,0.0,-112.0,-112.0,0.0,-0.0,2020
2020-09-01,0.0,-107.0,-107.0,0.0,-0.0,2020
2020-10-01,0.0,5.0,5.0,0.0,-0.0,2020
2020-11-01,0.0,-190.0,-190.0,0.0,-0.0,2020
2020-12-01,0.0,-136.0,-136.0,0.0,-0.0,2020
2021-01-01,0.0,-143.0,-143.0,0.0,-0.0,2020
2021-02-01,0.0,-29.0,-29.0,0.0,-0.0,2020
2021-03-01,0.0,-174.0,-174.0,0.0,-0.0,2020
2021-04-01,0.0,-52.0,-52.0,0.0,-0.0,2021
2021-05-01,0.0,-152.0,-152.0,0.0,-0.0,2021
2021-06-01,0.0,489.0,489.0,0.0,-0.0,2021
2021-07-01,0.0,-148.0,-148.0,0.0,-353.0,2021
2021-08-01,0.0,-12.0,-12.0,0.0,-0.0,2021
2021-09-01,0.0,137.0,137.0,0.0,-0.0,2021
2021-10-01,0.0,74.0,74.0,0.0,-0.0,2021
2021-11-01,0.0,28.0,28.0,0.0,-0.0,2021
2021-12-01,0.0,5.0,5.0,60.0,-0.0,2021
2022-01-01,0.0,97.0,97.0,0.0,-0.0,2021
2022-02-01,0.0,85.0,85.0,160.0,-0.0,2021
2022-03-01,160.0,55.0,215.0,0.0,-0.0,2021
2022-04-01,160.0,164.0,324.0,0.0,-0.0,2022
2022-05-01,130.0,49.0,179.0,0.0,-0.0,2022
2022-06-01,29.0,225.0,254.0,0.0,-0.0,2022
2022-07-01,16.0,-126.0,-110.0,0.0,-0.0,2022
2022-08-01,25.0,93.0,118.0,0.0,-0.0,2022
2022-09-01,175.0,281.0,456.0,0.0,-0.0,2022
2022-10-01,45.0,-81.0,-36.0,0.0,-0.0,2022
2022-11-01,-24.0,372.0,348.0,0.0,-0.0,2022
2022-12-01,24.0,326.0,350.0,0.0,-0.0,2022
2023-01-01,70.0,93.0,163.0,0.0,-0.0,2022
2023-02-01,120.0,395.0,515.0,0.0,-0.0,2022
2023-03-01,170.0,220.0,390.0,0.0,-0.0,2022
2023-04-01,100.0,132.0,232.0,0.0,-0.0,2023
2023-05-01,60.0,266.0,326.0,20.0,-0.0,2023
2023-06-01,250.0,258.0,508.0,0.0,-0.0,2023
2023-07-01,280.0,234.0,514.0,0.0,-0.0,2023
2023-08-01,210.0,108.0,318.0,0.0,-0.0,2023
2023-09-01,310.0,220.0,530.0,0.0,-0.0,2023
2023-10-01,315.0,69.0,384.0,0.0,-0.0,2023
2023-11-01,160.0,-171.0,-11.0,0.0,-0.0,2023
2023-12-01,207.0,-144.0,63.0,0.0,-0.0,2023
2024-01-01,160.0,-143.0,17.0,0.0,-0.0,2023
2024-02-01,88.0,-51.0,37.0,0.0,-0.0,2023
2024-03-01,10.0,-116.0,-106.0,0.0,-0.0,2023
2024-04-01,0.0,-46.0,-46.0,0.0,-0.0,2024
2024-05-01,0.0,25.0,25.0,0.0,-0.0,2024
2024-06-01,0.0,-96.0,-96.0,0.0,-0.0,2024
2024-07-01,0.0,44.0,44.0,0.0,-0.0,2024
2024-08-01,100.0,581.0,681.0,0.0,-0.0,2024
2024-09-01,-46.0,-85.0,-131.0,0.0,-0.0,2024
2024-10-01,-54.0,-350.0,-404.0,0.0,-0.0,2024
2024-11-01,0.0,-132.0,-132.0,0.0,-0.0,2024
2024-12-01,0.0,-188.0,-188.0,0.0,-0.0,2024
2025-01-01,0.0,-26.0,-26.0,0.0,-0.0,2024
2025-02-01,0.0,-27.0,-27.0,0.0,-0.0,2024
2025-03-01,54.0,236.0,290.0,0.0,-0.0,2024
2025-04-01,54.0,185.0,239.0,64.0,-0.0,2025
2025-05-01,120.0,203.0,323.0,0.0,-0.0,2025
2025-06-01,200.0,-178.0,22.0,0.0,-0.0,2025
2025-07-01,88.0,2.0,90.0,0.0,-0.0,2025
2025-08-01,120.0,134.0,254.0,0.0,-0.0,2025
2025-09-01,44.0,-234.0,-190.0,0.0,-0.0,2025
2025-10-01,90.0,-216.0,-126.0,0.0,-0.0,2025
2025-11-01,66.0,-43.0,23.0,0.0,-0.0,2025
2025-12-01,146.0,-16.0,130.0,0.0,-0.0,2025
2026-01-01,176.0,31.0,207.0,0.0,-0.0,2025
2026-02-01,55.0,66.0,121.0,0.0,-0.0,2025
2026-03-01,18.0,-15.0,3.0,0.0,-0.0,2025
2026-04-01,120.0,-150.0,-30.0,0.0,-0.0,2026
2026-05-01,120.0,-223.0,-103.0,0.0,-0.0,2026
2026-06-01,-114.0,-428.0,-542.0,0.0,-0.0,2026
2026-07-01,0.0,-225.0,-225.0,0.0,-0.0,2026
