,d_opcap,crowding_ratio_start,crowding_places_start,staff_pct_target_start,staff_gap_start,d_officers,size
askham grange,0.0,1.0,0.0,85.585,-5.91,1.897,128.0
aylesbury,20.0,0.95,-20.0,98.888,-1.801,-3.436,402.0
bedford,-47.0,1.607,159.0,97.784,-3.797,-0.859,262.0
belmarsh,0.0,0.957,-35.0,96.055,-17.577,11.295,808.0
berwyn,-20.0,0.976,-50.0,90.033,-46.147,-3.0,2050.0
birmingham,0.0,1.299,231.0,93.336,-21.923,3.449,772.0
brinsford,0.0,1.085,45.0,90.838,-19.423,3.718,532.0
bristol,-5.0,1.411,169.0,99.941,-0.115,3.051,411.0
brixton,-50.0,1.364,193.0,96.952,-7.192,4.615,530.0
buckley hall,0.0,1.147,60.0,98.553,-1.859,-2.346,409.0
bullingdon,0.0,1.283,245.0,87.732,-33.615,3.487,867.0
bure,0.0,1.065,39.0,98.166,-2.917,-4.494,604.0
cardiff,-5.0,1.54,273.0,96.842,-7.89,-0.705,506.0
channings wood,0.0,1.091,65.0,106.863,14.374,1.103,711.0
chelmsford,-21.0,1.347,170.0,95.502,-10.574,5.641,490.0
coldingley,0.0,1.096,45.0,98.028,-2.505,-1.385,468.0
cookham wood,0.0,0.825,-29.0,52.008,-92.865,-3.051,166.0
deerbolt,0.0,1.0,0.0,93.915,-9.949,0.897,490.0
downview,0.0,1.0,0.0,86.402,-20.138,-0.513,356.0
drake hall,0.0,1.003,1.0,93.439,-6.397,-6.397,339.0
durham,0.0,1.72,404.0,88.73,-31.16,7.91,561.0
east sutton park,0.0,0.943,-6.0,88.215,-4.496,0.667,106.0
eastwood park,0.0,1.088,32.0,87.679,-21.5,-7.295,363.0
elmley,-90.0,1.006,6.0,91.701,-24.564,-4.974,1007.0
erlestoke,0.0,1.067,32.0,84.925,-25.069,-4.897,480.0
exeter,0.0,1.606,117.0,99.148,-1.474,-1.795,193.0
featherstone,8.0,1.058,35.0,96.865,-5.769,3.359,599.0
feltham,0.0,0.929,-42.0,86.494,-60.981,20.327,595.0
ford,0.0,1.0,0.0,102.564,1.654,-1.885,389.0
foston hall,-10.0,1.117,34.0,92.884,-10.603,-1.205,290.0
frankland,0.0,0.956,-39.0,97.661,-13.66,-2.318,885.0
full sutton,0.0,0.941,-37.0,80.222,-88.268,-13.455,631.0
garth,0.0,0.975,-20.0,93.13,-18.756,-3.397,811.0
gartree,0.0,1.0,0.0,93.351,-16.856,-1.487,697.0
guys marsh,-66.0,1.183,79.0,79.802,-31.529,3.641,432.0
hatfield,0.0,1.0,0.0,103.481,2.385,-3.744,358.0
haverigg,-11.0,0.993,-4.0,98.416,-1.244,1.308,559.0
hewell,0.0,1.323,262.0,90.688,-26.408,2.744,812.0
high down,0.0,1.193,183.0,96.96,-8.147,-3.808,950.0
highpoint,-120.0,1.007,9.0,97.667,-6.859,-7.436,1271.0
hindley,18.0,1.113,59.0,96.414,-6.994,3.91,523.0
hollesley bay,0.0,1.0,0.0,98.55,-1.218,103.436,655.0
holme house,-20.0,1.136,137.0,94.531,-19.526,-2.333,1006.0
hull,51.0,1.444,299.0,97.927,-6.218,-3.231,674.0
humber,0.0,1.135,128.0,97.799,-5.833,-6.321,951.0
huntercombe,0.0,1.271,111.0,94.124,-7.933,-6.105,409.0
isis,0.0,1.314,150.0,103.373,5.615,3.397,478.0
isle of wight,0.0,1.101,89.0,92.305,-24.611,2.59,879.0
kirkham,-81.0,1.057,38.0,96.426,-2.859,1.397,661.0
kirklevington grange,-20.0,1.107,20.0,95.012,-2.744,1.154,187.0
lancaster farms,0.0,1.173,86.0,99.387,-1.051,12.308,498.0
leeds,0.0,1.7,449.0,93.048,-20.662,-2.91,641.0
leicester,-31.0,1.583,123.0,94.881,-7.077,2.244,211.0
lewes,3.0,1.354,163.0,92.769,-15.077,-4.058,461.0
leyhill,0.0,0.996,-2.0,98.107,-1.231,2.0,476.0
lincoln,-26.0,1.54,211.0,103.977,7.974,-0.128,391.0
lindholme,0.0,1.244,198.0,90.407,-23.744,1.641,812.0
littlehey,0.0,1.104,117.0,100.204,0.528,-2.705,1126.0
liverpool,10.0,0.962,-33.0,96.161,-10.131,0.436,863.0
long lartin,0.0,0.822,-116.0,78.632,-80.82,-8.205,653.0
low newton,0.0,0.925,-24.0,93.288,-11.256,-6.923,322.0
lowdham grange,12.0,0.908,-82.0,103.241,8.784,-4.721,888.0
maidstone,0.0,0.988,-7.0,90.16,-13.923,5.346,560.0
manchester,-20.0,0.851,-104.0,90.576,-39.205,2.692,696.0
moorland,4.0,1.123,113.0,95.639,-10.596,-5.224,920.0
morton hall,0.0,1.0,0.0,94.182,-7.244,2.0,353.0
new hall,-39.0,1.103,35.0,89.583,-19.227,3.295,341.0
north sea camp,0.0,1.0,0.0,98.618,-0.795,-1.603,300.0
norwich,-82.0,1.259,163.0,93.627,-15.167,3.872,629.0
nottingham,0.0,1.335,241.0,97.252,-8.244,9.09,719.0
onley,0.0,1.039,28.0,89.044,-21.692,0.526,714.0
pentonville,0.0,1.333,301.0,94.494,-18.369,-8.244,904.0
