period,open_trials,custody,custody_pct,custody_mean_days,bail,bail_pct,bail_mean_days
2016 Q1,40613,10715,26.4,130.5,28860,71.1,196.9
2016 Q2,37428,9503,25.4,134.2,26862,71.8,197.3
2016 Q3,35966,9698,27.0,130.2,25158,69.9,197.0
2016 Q4,35364,9792,27.7,129.9,24461,69.2,194.1
2017 Q1,34108,9912,29.1,123.4,23170,67.9,187.1
2017 Q2,33468,9950,29.7,120.9,22499,67.2,184.1
2017 Q3,32614,10342,31.7,121.1,21266,65.2,187.5
2017 Q4,31499,9913,31.5,128.2,20635,65.5,187.2
2018 Q1,29334,9473,32.3,130.8,18935,64.5,190.5
2018 Q2,27999,9491,33.9,127.2,17669,63.1,191.9
2018 Q3,27012,9593,35.5,129.9,16630,61.6,187.3
2018 Q4,25654,8932,34.8,127.6,15972,62.3,181.0
2019 Q1,25690,8919,34.7,126.0,16019,62.4,167.7
2019 Q2,26671,9051,33.9,124.2,16844,63.2,159.8
2019 Q3,27625,9612,34.8,124.4,17518,63.4,162.8
2019 Q4,29771,9773,32.8,127.8,19261,64.7,167.0
2020 Q1,32145,10321,32.1,132.4,20728,64.5,180.6
2020 Q2,34532,11346,32.9,152.6,22106,64.0,231.2
2020 Q3,41838,12549,30.0,160.1,28081,67.1,216.8
2020 Q4,46541,12751,27.4,174.1,32461,69.7,228.3
2021 Q1,49146,12755,26.0,185.5,35103,71.4,246.0
2021 Q2,49998,13039,26.1,192.2,35656,71.3,266.9
2021 Q3,49052,13244,27.0,202.7,34432,70.2,291.3
2021 Q4,47782,13072,27.4,204.6,33357,69.8,315.6
2022 Q1,47107,12875,27.3,206.1,32953,70.0,321.4
2022 Q2,48038,13305,27.7,210.0,33429,69.6,328.9
2022 Q3,50872,14315,28.1,216.6,35230,69.3,339.7
2022 Q4,50877,13953,27.4,218.3,35508,69.8,349.5
2023 Q1,50402,14121,28.0,211.7,34961,69.4,352.2
2023 Q2,51772,14895,28.8,203.5,35621,68.8,347.7
2023 Q3,52799,15549,29.4,199.0,35973,68.1,346.0
2023 Q4,53369,15509,29.1,198.4,36645,68.7,344.2
2024 Q1,54571,15850,29.0,195.7,37626,68.9,336.7
2024 Q2,56355,16425,29.1,187.4,38867,69.0,330.3
2024 Q3,58255,16966,29.1,180.2,40337,69.2,324.1
2024 Q4,59958,16790,28.0,182.1,42300,70.5,326.1
2025 Q1,62309,17414,27.9,178.3,44070,70.7,329.7
2025 Q2,64388,17409,27.0,177.9,46177,71.7,331.6
2025 Q3,65909,17392,26.4,182.0,47747,72.4,336.5
2025 Q4,66791,16907,25.3,187.2,49106,73.5,346.9
2026 Q1,67419,16285,24.2,190.0,50275,74.6,353.4
