,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
All offence types | Sentenced to immediate custody total,90500.0,90181.0,89220.0,81766.0,75123.0,58853.0,65104.0,66163.0,73970.0,82749.0,89164.0
All offence types | Up to and including 1 month,14324.0,14086.0,12815.0,10545.0,9045.0,5874.0,5882.0,6776.0,8631.0,10487.0,11601.0
All offence types | Over 1 month and up to and including 2 months,11323.0,11199.0,10264.0,9322.0,8137.0,6216.0,6322.0,6869.0,8005.0,8958.0,9839.0
All offence types | Over 2 months and up to and including 3 months,8958.0,8806.0,8513.0,8070.0,7099.0,5720.0,5824.0,5606.0,6140.0,7236.0,7522.0
All offence types | Over 3 months and less than 6 months,12250.0,12154.0,11847.0,11179.0,10632.0,8632.0,8858.0,8584.0,9559.0,10831.0,11174.0
All offence types | 6 months,4829.0,5311.0,5339.0,5078.0,4866.0,4509.0,4366.0,3999.0,4423.0,4929.0,4617.0
All offence types | Over 6 months and up to and including 9 months,4286.0,4119.0,4276.0,3983.0,3844.0,3281.0,3333.0,3969.0,3362.0,4019.0,5161.0
All offence types | Over 9 months and less than 12 months,1717.0,1726.0,1798.0,1675.0,1566.0,1394.0,1400.0,1562.0,1565.0,1785.0,1952.0
All offence types | 12 months,4006.0,3760.0,3731.0,3357.0,3091.0,2526.0,2704.0,3078.0,2872.0,3379.0,3950.0
All offence types | Over 12 months and up to and including 18 months,5700.0,5401.0,5448.0,5176.0,4892.0,4155.0,4594.0,4425.0,5174.0,5778.0,5610.0
All offence types | Over 18 months and up to and including 2 years,4828.0,4671.0,4666.0,4115.0,3854.0,3210.0,3800.0,3608.0,4093.0,4449.0,4908.0
All offence types | Over 2 years and up to and including 3 years,7105.0,7283.0,7574.0,7125.0,6940.0,5696.0,6910.0,6878.0,7725.0,8285.0,9200.0
All offence types | Over 3 years and less than 4 years,2184.0,2210.0,2460.0,2559.0,2332.0,1793.0,2253.0,2301.0,2723.0,2750.0,3195.0
All offence types | 4 years,1657.0,1754.0,1741.0,1439.0,1287.0,902.0,1153.0,1126.0,1199.0,1153.0,1250.0
All offence types | Over 4 years and up to and including 5 years,1980.0,2110.0,2281.0,2144.0,1996.0,1322.0,1827.0,1889.0,2053.0,2036.0,2290.0
All offence types | Over 5 years and up to and including 6 years,1417.0,1514.0,1680.0,1511.0,1440.0,1028.0,1497.0,1469.0,1661.0,1733.0,1914.0
All offence types | Over 6 years and up to and including 7 years,820.0,854.0,945.0,859.0,779.0,552.0,888.0,760.0,934.0,988.0,973.0
All offence types | Over 7 years and up to and including 8 years,713.0,740.0,881.0,775.0,709.0,496.0,771.0,699.0,814.0,843.0,839.0
All offence types | Over 8 years and up to and including 9 years,447.0,450.0,517.0,503.0,484.0,303.0,528.0,471.0,550.0,602.0,581.0
All offence types | Over 9 years and up to and including 10 years,462.0,404.0,508.0,444.0,384.0,238.0,379.0,371.0,407.0,434.0,482.0
All offence types | Over 10 years and up to and including 15 years,807.0,893.0,1044.0,973.0,918.0,477.0,887.0,848.0,1104.0,1156.0,1205.0
All offence types | Over 15 years and less than life,276.0,318.0,408.0,413.0,337.0,163.0,437.0,408.0,508.0,600.0,666.0
All offence types | Indeterminate Sentence,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
All offence types | Life,406.0,391.0,389.0,419.0,387.0,304.0,404.0,397.0,413.0,287.0,213.0
All offence types | Not known,5.0,27.0,93.0,101.0,104.0,61.0,87.0,70.0,55.0,31.0,22.0
All offence types | Average custodial sentence length (months) [note 15],16.3,16.7,18.3,18.5,18.7,17.2,21.3,20.5,21.0,20.0,20.1
