,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Indictable | Indictable offences total,74437,74994,75672,69632,65517,50950,56771,58077,65797,73908,79343
Indictable | Violence against the person,12014,12068,12975,12705,13628,13650,14463,14373,15842,17382,17789
Indictable | Sexual offences,4182,4574,4524,3607,2991,2269,3671,3754,4265,4738,5059
Indictable | Robbery,3103,2829,3169,2899,2787,1910,1984,1849,1999,2036,2088
Indictable | Theft offences,26871,25642,24139,21402,18473,11579,11222,12952,16439,20124,22449
Indictable | Criminal damage and arson,643,650,668,579,526,419,500,527,528,670,688
Indictable | Drug offences,8841,8899,8976,8677,8559,7363,9974,9586,10950,10532,11457
Indictable | Possession of weapons,3328,4105,4779,5229,5068,3633,3863,4017,4031,4331,4347
Indictable | Public order offences,4730,4928,5172,4854,4949,4286,4542,4788,5140,7016,8072
Indictable | Miscellaneous crimes against society,8480,9017,9065,7816,6978,5008,5601,5347,5613,6019,6344
Indictable | Fraud offences,2245,2282,2205,1864,1558,833,951,884,990,1060,1050
Summary | Summary offences total,16063,15187,13548,12136,9607,7905,8333,8086,8173,8841,9821
Summary | Summary non-motoring,12704,11563,10176,8811,6506,5469,5359,5161,5426,6026,6781
Summary | Summary motoring,3359,3624,3372,3325,3101,2436,2974,2925,2747,2815,3040
All offence types | All offence types total,90500,90181,89220,81768,75124,58855,65104,66163,73970,82749,89164
