target,edition,horizon_years,actual_from,day_gap,proj_total,actual_total,error_total,err_remand,err_determinate,err_indeterminate,err_recall,err_non-criminal,err_fine_defaulters
Jun 2017,2015-2021,2,2017-2022,29,87400.0,85863.0,1537.0,1962.0,-1426.0,400.0,410.0,78.0,13.0
Jun 2018,2015-2021,3,2018-2023,0,88200.0,82773.0,5427.0,2415.0,1009.0,738.0,607.0,631.0,27.0
Jun 2019,2015-2021,4,2019-2024,0,89000.0,82676.0,6324.0,2672.0,2506.0,862.0,-392.0,734.0,42.0
Jun 2017,2016-2021,1,2017-2022,29,84600.0,85863.0,-1263.0,-638.0,-1326.0,200.0,310.0,78.0,13.0
Jun 2018,2016-2021,2,2018-2023,0,83700.0,82773.0,927.0,-385.0,-291.0,438.0,507.0,631.0,27.0
Jun 2019,2016-2021,3,2019-2024,0,83800.0,82676.0,1124.0,-128.0,406.0,562.0,-392.0,734.0,42.0
Jun 2018,2017-2022,1,2018-2023,29,86400.0,82773.0,3627.0,615.0,2409.0,-162.0,207.0,531.0,27.0
Jun 2019,2017-2022,2,2019-2024,29,86500.0,82676.0,3824.0,872.0,3206.0,-238.0,-692.0,634.0,42.0
Jun 2019,2018-2023,1,2019-2024,0,83700.0,82676.0,1024.0,272.0,1606.0,-38.0,-992.0,134.0,42.0
Sep 2024,2020-2026,4,2024-2029,0,96000.0,86966.0,9034.0,-4962.0,14582.0,-1.0,-779.0,315.0,29.0
Sep 2025,2020-2026,5,2025-2030,0,97700.0,87465.0,10235.0,-5000.0,15376.0,-93.0,-457.0,333.0,26.0
Nov 2023,2022-2027,1,2023-2028,0,89100.0,87935.0,1165.0,-3086.0,4608.0,-218.0,-450.0,335.0,26.0
Sep 2025,2024-2029,1,2025-2030,0,89100.0,87465.0,1635.0,1600.0,-124.0,-193.0,243.0,33.0,-24.0
