target_date,horizon_weeks,lodged,base_bulletin,base_headroom,baseline_naive,baseline_seasonal_naive,baseline_official,v1_exogenous,v2_endogenous,v3_seasonal_CENTRAL,v3_lower80,v3_upper80,actual_headroom,bulletin_date,scored
2026-09-28,5,2026-09-03,2026-08-24,2094.0,2094.0,2025,,1139.0,1183.0,2076,1505,2672,,,False
2026-10-26,9,2026-09-03,2026-08-24,2094.0,2094.0,1927,,1725.0,1975.0,3170,2414,3869,,,False
2026-11-30,14,2026-09-03,2026-08-24,2094.0,2094.0,2069,1499.0,1420.0,1912.0,3509,2655,4392,,,False
2026-12-28,18,2026-09-03,2026-08-24,2094.0,2094.0,2728,,1206.0,1827.0,4226,3280,5255,,,False
2027-01-25,22,2026-09-03,2026-08-24,2094.0,2094.0,2548,,1042.0,1867.0,4210,3197,5499,,,False
2027-03-01,27,2026-09-03,2026-08-24,2094.0,2094.0,2165,,587.0,1687.0,3957,2936,5210,,,False
2027-03-29,31,2026-09-03,2026-08-24,2094.0,2094.0,2289,,23.0,1442.0,4109,3032,5445,,,False
2027-05-31,40,2026-09-03,2026-08-24,2094.0,2094.0,2515,2099.0,-1496.0,735.0,4048,2864,5456,,,False
2026-10-05,4,2026-09-11,2026-09-07,2075.0,2075.0,1906,,,,2614,2105,3153,,,False
2026-12-07,13,2026-09-11,2026-09-07,2075.0,2075.0,2184,,,,3439,2591,4302,,,False
2027-03-08,26,2026-09-11,2026-09-07,2075.0,2075.0,2089,,,,3682,2661,4935,,,False
