date,pop,cap,headroom
2026-08-24,86843.0,88937.0,2094.0
2026-08-31,86986.0,88889.0,1903.0
2026-09-07,87129.0,88841.0,1712.0
2026-09-14,87272.0,88793.0,1521.0
2026-09-21,87415.0,88745.0,1330.0
2026-09-28,87558.0,88697.0,1139.0
2026-10-05,87001.0,88649.0,1648.0
2026-10-12,87144.0,88601.0,1457.0
2026-10-19,86637.0,88553.0,1916.0
2026-10-26,86780.0,88505.0,1725.0
2026-11-02,86923.0,88457.0,1534.0
2026-11-09,87066.0,88409.0,1343.0
2026-11-16,86559.0,88361.0,1802.0
2026-11-23,86702.0,88313.0,1611.0
2026-11-30,86845.0,88265.0,1420.0
2026-12-07,86988.0,88217.0,1229.0
2026-12-14,86581.0,88169.0,1588.0
2026-12-21,86724.0,88121.0,1397.0
2026-12-28,86867.0,88073.0,1206.0
2027-01-04,87010.0,88025.0,1015.0
2027-01-11,87153.0,87977.0,824.0
2027-01-18,86696.0,87929.0,1233.0
2027-01-25,86839.0,87881.0,1042.0
2027-02-01,86982.0,87833.0,851.0
2027-02-08,87125.0,87785.0,660.0
2027-02-15,86768.0,87737.0,969.0
2027-02-22,86911.0,87689.0,778.0
2027-03-01,87054.0,87641.0,587.0
2027-03-08,87197.0,87593.0,396.0
2027-03-15,87140.0,87545.0,405.0
2027-03-22,87283.0,87497.0,214.0
2027-03-29,87426.0,87449.0,23.0
2027-04-05,87569.0,87401.0,-168.0
2027-04-12,87712.0,87353.0,-359.0
2027-04-19,87655.0,87305.0,-350.0
2027-04-26,87798.0,87257.0,-541.0
2027-05-03,87941.0,87209.0,-732.0
2027-05-10,88084.0,87161.0,-923.0
2027-05-17,88227.0,87113.0,-1114.0
2027-05-24,88370.0,87065.0,-1305.0
2027-05-31,88513.0,87017.0,-1496.0
2027-06-07,88656.0,86969.0,-1687.0
2027-06-14,88799.0,86921.0,-1878.0
2027-06-21,88942.0,86873.0,-2069.0
2027-06-28,89085.0,86825.0,-2260.0
