date,pop,gross_cap,uoc,headroom,scenario
2026-08-24,86843.0,90577.0,88937.0,2094.0,central pop +143/wk
2026-08-31,86986.0,90576.0,88936.0,1950.0,central pop +143/wk
2026-09-07,87129.0,90582.0,88942.0,1813.0,central pop +143/wk
2026-09-14,87272.0,90594.0,88954.0,1682.0,central pop +143/wk
2026-09-21,87415.0,90612.0,88972.0,1557.0,central pop +143/wk
2026-09-28,87558.0,90636.0,88996.0,1438.0,central pop +143/wk
2026-10-05,87001.0,90665.0,89025.0,2024.0,central pop +143/wk
2026-10-12,87144.0,90668.0,89028.0,1884.0,central pop +143/wk
2026-10-19,86637.0,90676.0,89036.0,2399.0,central pop +143/wk
2026-10-26,86780.0,90661.0,89021.0,2241.0,central pop +143/wk
2026-11-02,86923.0,90654.0,89014.0,2091.0,central pop +143/wk
2026-11-09,87066.0,90653.0,89013.0,1947.0,central pop +143/wk
2026-11-16,86559.0,90659.0,89019.0,2460.0,central pop +143/wk
2026-11-23,86702.0,90641.0,89001.0,2299.0,central pop +143/wk
2026-11-30,86845.0,90631.0,88991.0,2146.0,central pop +143/wk
2026-12-07,86988.0,90627.0,88987.0,1999.0,central pop +143/wk
2026-12-14,86581.0,90631.0,88991.0,2410.0,central pop +143/wk
2026-12-21,86724.0,90615.0,88975.0,2251.0,central pop +143/wk
2026-12-28,86867.0,90607.0,88967.0,2100.0,central pop +143/wk
2027-01-04,87010.0,90606.0,88966.0,1956.0,central pop +143/wk
2027-01-11,87153.0,90611.0,88971.0,1818.0,central pop +143/wk
2027-01-18,86696.0,90623.0,88983.0,2287.0,central pop +143/wk
2027-01-25,86839.0,90613.0,88973.0,2134.0,central pop +143/wk
2027-02-01,86982.0,90611.0,88971.0,1989.0,central pop +143/wk
2027-02-08,87125.0,90614.0,88974.0,1849.0,central pop +143/wk
2027-02-15,86768.0,90625.0,88985.0,2217.0,central pop +143/wk
2027-02-22,86911.0,90618.0,88978.0,2067.0,central pop +143/wk
2027-03-01,87054.0,90619.0,88979.0,1925.0,central pop +143/wk
2027-03-08,87197.0,90626.0,88986.0,1789.0,central pop +143/wk
2027-03-15,87140.0,90639.0,88999.0,1859.0,central pop +143/wk
2027-03-22,87283.0,90649.0,89009.0,1726.0,central pop +143/wk
2027-03-29,87426.0,90665.0,89025.0,1599.0,central pop +143/wk
2027-04-05,87569.0,90687.0,89047.0,1478.0,central pop +143/wk
2027-04-12,87712.0,90714.0,89074.0,1362.0,central pop +143/wk
2027-04-19,87655.0,90747.0,89107.0,1452.0,central pop +143/wk
2027-04-26,87798.0,90776.0,89136.0,1338.0,central pop +143/wk
2027-05-03,87941.0,90810.0,89170.0,1229.0,central pop +143/wk
2027-05-10,88084.0,90849.0,89209.0,1125.0,central pop +143/wk
2027-05-17,88227.0,90893.0,89253.0,1026.0,central pop +143/wk
2027-05-24,88370.0,90941.0,89301.0,931.0,central pop +143/wk
