date,pop,uoc,headroom,scenario
2026-08-24,86843.0,88937.0,2094.0,central (trend +20/wk)
2026-08-31,86840.0,88959.0,2120.0,central (trend +20/wk)
2026-09-07,86849.0,88981.0,2132.0,central (trend +20/wk)
2026-09-14,86885.0,89010.0,2126.0,central (trend +20/wk)
2026-09-21,86928.0,89044.0,2117.0,central (trend +20/wk)
2026-09-28,87007.0,89083.0,2076.0,central (trend +20/wk)
2026-10-05,86394.0,89093.0,2699.0,central (trend +20/wk)
2026-10-12,86435.0,89087.0,2652.0,central (trend +20/wk)
2026-10-19,85808.0,89048.0,3241.0,central (trend +20/wk)
2026-10-26,85832.0,89002.0,3170.0,central (trend +20/wk)
2026-11-02,85848.0,88942.0,3095.0,central (trend +20/wk)
2026-11-09,85852.0,88885.0,3032.0,central (trend +20/wk)
2026-11-16,85221.0,88807.0,3585.0,central (trend +20/wk)
2026-11-23,85211.0,88726.0,3515.0,central (trend +20/wk)
2026-11-30,85135.0,88645.0,3509.0,central (trend +20/wk)
2026-12-07,84988.0,88560.0,3573.0,central (trend +20/wk)
2026-12-14,84291.0,88456.0,4165.0,central (trend +20/wk)
2026-12-21,84117.0,88345.0,4228.0,central (trend +20/wk)
2026-12-28,84002.0,88229.0,4226.0,central (trend +20/wk)
2027-01-04,83964.0,88131.0,4167.0,central (trend +20/wk)
2027-01-11,84015.0,88037.0,4021.0,central (trend +20/wk)
2027-01-18,83501.0,87950.0,4449.0,central (trend +20/wk)
2027-01-25,83659.0,87869.0,4210.0,central (trend +20/wk)
2027-02-01,83794.0,87799.0,4005.0,central (trend +20/wk)
2027-02-08,83914.0,87737.0,3824.0,central (trend +20/wk)
2027-02-15,83523.0,87684.0,4161.0,central (trend +20/wk)
2027-02-22,83594.0,87636.0,4042.0,central (trend +20/wk)
2027-03-01,83638.0,87594.0,3957.0,central (trend +20/wk)
2027-03-08,83668.0,87557.0,3889.0,central (trend +20/wk)
2027-03-15,83469.0,87534.0,4065.0,central (trend +20/wk)
2027-03-22,83434.0,87515.0,4081.0,central (trend +20/wk)
2027-03-29,83390.0,87499.0,4109.0,central (trend +20/wk)
2027-04-05,83333.0,87483.0,4150.0,central (trend +20/wk)
2027-04-12,83287.0,87451.0,4164.0,central (trend +20/wk)
2027-04-19,83061.0,87428.0,4367.0,central (trend +20/wk)
2027-04-26,83057.0,87387.0,4330.0,central (trend +20/wk)
2027-05-03,83079.0,87345.0,4266.0,central (trend +20/wk)
2027-05-10,83110.0,87301.0,4191.0,central (trend +20/wk)
2027-05-17,83124.0,87271.0,4147.0,central (trend +20/wk)
2027-05-24,83129.0,87227.0,4098.0,central (trend +20/wk)
