date,0%,15%,30%,45%
2026-08-24,2094,2094,2094,2094
2026-08-31,1978,1978,1978,1978
2026-09-07,1865,1865,1865,1865
2026-09-14,1763,1763,1763,1763
2026-09-21,1668,1668,1668,1668
2026-09-28,1580,1580,1580,1580
2026-10-05,2165,2165,2165,2165
2026-10-12,2037,2037,2037,2037
2026-10-19,2530,2530,2530,2530
2026-10-26,2369,2369,2369,2369
2026-11-02,2198,2198,2198,2198
2026-11-09,2034,2034,2034,2034
2026-11-16,2502,2502,2502,2502
2026-11-23,2323,2323,2323,2323
2026-11-30,2145,2143,2141,2139
2026-12-07,1968,1965,1961,1957
2026-12-14,2328,2321,2313,2306
2026-12-21,2136,2125,2114,2103
2026-12-28,1946,1932,1917,1903
2027-01-04,1778,1760,1743,1725
2027-01-11,1613,1590,1567,1544
2027-01-18,2053,2025,1998,1970
2027-01-25,1896,1863,1831,1799
2027-02-01,1745,1708,1672,1635
2027-02-08,1600,1557,1514,1472
2027-02-15,1960,1912,1864,1815
2027-02-22,1824,1770,1716,1662
2027-03-01,1689,1630,1571,1512
2027-03-08,1557,1493,1429,1365
2027-03-15,1638,1567,1497,1426
2027-03-22,1522,1444,1367,1289
2027-03-29,1407,1323,1239,1156
2027-04-05,1294,1204,1114,1024
2027-04-12,1169,1071,973,876
2027-04-19,1258,1153,1048,943
2027-04-26,1136,1024,912,799
2027-05-03,1018,899,779,660
2027-05-10,903,777,650,523
2027-05-17,808,673,539,405
2027-05-24,701,560,418,276
2027-05-31,599,450,301,152
2027-06-07,501,345,189,33
2027-06-14,412,248,85,-79
2027-06-21,316,145,-26,-197
2027-06-28,223,45,-133,-311
2027-07-05,135,-50,-235,-421
2027-07-12,51,-141,-334,-526
2027-07-19,-24,-223,-422,-621
2027-07-26,-109,-314,-520,-726
2027-08-02,-190,-402,-614,-827
2027-08-09,-267,-486,-705,-924
2027-08-16,-342,-567,-792,-1017
2027-08-23,-425,-656,-887,-1118
2027-08-30,-504,-741,-978,-1216
2027-09-06,-581,-824,-1067,-1310
2027-09-13,-654,-903,-1152,-1401
2027-09-20,-730,-984,-1239,-1493
2027-09-27,-803,-1063,-1322,-1582
2027-10-04,-873,-1138,-1404,-1669
2027-10-11,-941,-1211,-1482,-1752
2027-10-18,-1006,-1282,-1557,-1833
2027-10-25,-1073,-1354,-1634,-1914
2027-11-01,-1138,-1423,-1708,-1993
2027-11-08,-1199,-1489,-1779,-2068
2027-11-15,-1259,-1553,-1847,-2141
2027-11-22,-1316,-1614,-1913,-2211
2027-11-29,-1371,-1671,-1972,-2272
2027-12-06,-1424,-1726,-2029,-2331
2027-12-13,-1474,-1777,-2079,-2382
2027-12-20,-1523,-1825,-2128,-2431
2027-12-27,-1569,-1872,-2175,-2477
2028-01-03,-1614,-1916,-2219,-2522
2028-01-10,-1656,-1957,-2258,-2558
2028-01-17,-1697,-1996,-2295,-2593
2028-01-24,-1736,-2033,-2330,-2627
2028-01-31,-1773,-2069,-2364,-2659
2028-02-07,-1809,-2101,-2392,-2684
2028-02-14,-1843,-2131,-2420,-2708
2028-02-21,-1875,-2160,-2445,-2731
2028-02-28,-1905,-2187,-2469,-2752
2028-03-06,-1934,-2213,-2492,-2771
2028-03-13,-1961,-2235,-2509,-2783
2028-03-20,-1986,-2255,-2525,-2794
2028-03-27,-2009,-2274,-2539,-2803
2028-04-03,-2031,-2291,-2551,-2811
2028-04-10,-2052,-2306,-2559,-2813
2028-04-17,-2071,-2319,-2566,-2814
2028-04-24,-2089,-2330,-2571,-2813
2028-05-01,-2105,-2340,-2575,-2811
2028-05-08,-2119,-2348,-2577,-2806
2028-05-15,-2133,-2355,-2577,-2799
2028-05-22,-2145,-2360,-2576,-2791
2028-05-29,-2156,-2365,-2573,-2782
2028-06-05,-2165,-2368,-2570,-2772
2028-06-12,-2174,-2369,-2564,-2760
2028-06-19,-2181,-2369,-2558,-2746
2028-06-26,-2187,-2369,-2550,-2732
2028-07-03,-2193,-2367,-2542,-2716
2028-07-10,-2197,-2365,-2532,-2700
2028-07-17,-2200,-2361,-2522,-2683
2028-07-24,-2203,-2357,-2511,-2666
2028-07-31,-2204,-2352,-2500,-2648
2028-08-07,-2205,-2346,-2488,-2629
2028-08-14,-2205,-2340,-2475,-2610
2028-08-21,-2204,-2333,-2461,-2590
2028-08-28,-2203,-2325,-2447,-2570
2028-09-04,-2201,-2317,-2433,-2549
2028-09-11,-2198,-2308,-2418,-2528
2028-09-18,-2195,-2299,-2403,-2507
2028-09-25,-2191,-2289,-2387,-2485
