date,v2_endogenous,k,v1_exogenous
2026-08-28,1682.0,2026-08-24/2026-08-30,2094.0
2026-09-04,1550.0,2026-08-31/2026-09-06,1903.0
2026-09-11,1423.0,2026-09-07/2026-09-13,1712.0
2026-09-18,1301.0,2026-09-14/2026-09-20,1521.0
2026-09-25,1183.0,2026-09-21/2026-09-27,1330.0
2026-10-02,1747.0,2026-09-28/2026-10-04,1139.0
2026-10-09,1616.0,2026-10-05/2026-10-11,1648.0
2026-10-16,2118.0,2026-10-12/2026-10-18,1457.0
2026-10-23,1975.0,2026-10-19/2026-10-25,1916.0
2026-10-30,1837.0,2026-10-26/2026-11-01,1725.0
2026-11-06,1703.0,2026-11-02/2026-11-08,1534.0
2026-11-13,2203.0,2026-11-09/2026-11-15,1343.0
2026-11-20,2057.0,2026-11-16/2026-11-22,1802.0
2026-11-27,1912.0,2026-11-23/2026-11-29,1611.0
2026-12-04,1767.0,2026-11-30/2026-12-06,1420.0
2026-12-11,2153.0,2026-12-07/2026-12-13,1229.0
2026-12-18,1990.0,2026-12-14/2026-12-20,1588.0
2026-12-25,1827.0,2026-12-21/2026-12-27,1397.0
2027-01-01,1686.0,2026-12-28/2027-01-03,1206.0
2027-01-08,1545.0,2027-01-04/2027-01-10,1015.0
2027-01-15,2006.0,2027-01-11/2027-01-17,824.0
2027-01-22,1867.0,2027-01-18/2027-01-24,1233.0
2027-01-29,1728.0,2027-01-25/2027-01-31,1042.0
2027-02-05,1589.0,2027-02-01/2027-02-07,851.0
2027-02-12,1955.0,2027-02-08/2027-02-14,660.0
2027-02-19,1821.0,2027-02-15/2027-02-21,969.0
2027-02-26,1687.0,2027-02-22/2027-02-28,778.0
2027-03-05,1563.0,2027-03-01/2027-03-07,587.0
2027-03-12,1653.0,2027-03-08/2027-03-14,396.0
2027-03-19,1546.0,2027-03-15/2027-03-21,405.0
2027-03-26,1442.0,2027-03-22/2027-03-28,214.0
2027-04-02,1341.0,2027-03-29/2027-04-04,23.0
2027-04-09,1227.0,2027-04-05/2027-04-11,-168.0
2027-04-16,1328.0,2027-04-12/2027-04-18,-359.0
2027-04-23,1218.0,2027-04-19/2027-04-25,-350.0
2027-04-30,1111.0,2027-04-26/2027-05-02,-541.0
2027-05-07,1008.0,2027-05-03/2027-05-09,-732.0
2027-05-14,924.0,2027-05-10/2027-05-16,-923.0
2027-05-21,828.0,2027-05-17/2027-05-23,-1114.0
2027-05-28,735.0,2027-05-24/2027-05-30,-1305.0
2027-06-04,646.0,2027-05-31/2027-06-06,-1496.0
2027-06-11,567.0,2027-06-07/2027-06-13,-1687.0
2027-06-18,478.0,2027-06-14/2027-06-20,-1878.0
2027-06-25,394.0,2027-06-21/2027-06-27,-2069.0
2027-07-02,313.0,2027-06-28/2027-07-04,-2260.0
