year,prison,community,bail,prison_plus_probation,justice_held,prison_share,rate_per_100k_pop,pp_rate_per_100k_pop,mags_custody_risk,community_adj,justice_held_v1,justice_held_v2,prison_share_v2
2015,84968,166306.0,28860,251274.0,280134.0,30.3,461.0,413.0,46639.0,166306.0,280134.0,326773.0,26.0
2017,84373,187542.0,20635,271915.0,292550.0,28.8,481.0,447.0,,187542.0,292550.0,,
2018,82236,180484.0,15972,262720.0,278692.0,29.5,458.0,432.0,,180484.0,278692.0,,
2019,82868,172110.0,19261,254978.0,274239.0,30.2,451.0,419.0,47085.0,172110.0,274239.0,321324.0,25.8
2020,78180,155679.0,32461,233859.0,266320.0,29.4,438.0,385.0,76163.0,155679.0,266320.0,342483.0,22.8
2021,79092,170744.0,33357,249836.0,283193.0,27.9,466.0,411.0,51568.0,170744.0,283193.0,334761.0,23.6
2022,81806,170655.0,35508,252461.0,287969.0,28.4,474.0,415.0,52933.0,170655.0,287969.0,340902.0,24.0
2023,87489,164359.0,36645,251848.0,288493.0,30.3,474.0,414.0,59834.0,164359.0,288493.0,348327.0,25.1
2024,85372,167575.0,42300,252947.0,295247.0,28.9,486.0,416.0,69304.0,167575.0,295247.0,364551.0,23.4
2026,87342,179300.0,50275,266642.0,316917.0,27.6,521.0,439.0,83020.0,175677.0,316917.0,396314.0,22.0
