,recalls,releases,sentence_len,time_served,served_pct,recalls_per_100_releases,recall_share_of_pop_pct,recall_stock
2015,21467.0,74443.0,18.41,11.16,60.62,28.83682817726314,,
2016,21559.0,73418.0,18.78,11.67,62.13999999999999,29.364733444114524,,
2017,21914.0,71495.0,19.19,12.23,63.73,30.65109448213162,,6390.0
2018,24268.0,69622.0,20.38,12.98,63.690000000000005,34.85679813851943,,6293.0
2019,26503.0,62771.0,21.97,13.7,62.36000000000001,42.22172659349062,,7392.0
2020,24437.0,53253.0,25.2,15.33,60.83,45.88849454490827,,9250.0
2021,22105.0,47014.0,26.65,16.07,60.3,47.01790955885481,,9127.0
2022,23571.0,46804.0,25.81,15.54,60.209999999999994,50.36108024955132,,10779.0
2023,27820.0,49134.0,25.21,15.17,60.17,56.62067000447755,,12150.0
2024,37573.0,57277.0,29.98,16.65,55.54,65.59875691813468,,12579.0
2025,48327.0,,,,,,,12657.0
