period,all_open,for_trial_open,either_way_open,indictable_open,summary_motoring_open,summary_nonmotoring_open,breaches_open
2019 Q1,222176,46639,44217,2422,104274,54658,16605
2019 Q2,219963,47202,44768,2434,101188,54743,16830
2019 Q3,214907,44899,42514,2385,98559,53617,17832
2019 Q4,223533,47085,44560,2525,105229,53249,17970
2020 Q1,250500,51241,48393,2848,118144,62924,18191
2020 Q2,345284,92346,87469,4877,154422,80814,17702
2020 Q3 [note 8],331806,86085,81815,4270,157371,71729,16621
2020 Q4,302355,76163,72451,3712,151364,58838,15990
2021 Q1,309595,68965,65613,3352,154322,71521,14787
2021 Q2,277491,58884,56215,2669,145827,58683,14097
2021 Q3,262047,52017,49674,2343,137848,57659,14523
2021 Q4,273246,51568,49123,2445,153498,53107,15073
2022 Q1,259674,50689,48165,2524,143955,50206,14824
2022 Q2,249404,51221,48596,2625,131877,51392,14914
2022 Q3,265773,51398,48813,2585,131030,67799,15546
2022 Q4,260843,52933,50300,2633,127469,63961,16480
2023 Q1,252887,54873,51997,2876,120089,61637,16288
2023 Q2,254061,55817,53043,2774,116532,64370,17342
2023 Q3,259138,56502,53544,2958,117651,67173,17812
2023 Q4,278367,59834,56729,3105,129143,71485,17905
2024 Q1,282125,60476,57392,3084,129824,74148,17677
2024 Q2,291161,63036,59912,3124,128091,82449,17585
2024 Q3,321717,65189,62012,3177,140346,99057,17125
2024 Q4,327236,69304,65990,3314,149239,91703,16990
2025 Q1,333194,72401,68847,3554,155385,89017,16391
2025 Q2,347193,73998,70460,3538,168488,88218,16489
2025 Q3,359306,75541,71983,3558,177180,89996,16589
2025 Q4,364779,79504,75796,3708,179135,89148,16992
2026 Q1,370722,83020,79131,3889,185690,85624,16388
