woy,mean,std,count
1,-650.0,448.0,15
2,-514.0,451.0,15
3,-390.0,470.0,15
4,-281.0,494.0,15
5,-99.0,477.0,15
6,44.0,438.0,15
7,65.0,466.0,15
8,114.0,485.0,15
9,170.0,542.0,15
10,159.0,607.0,14
11,167.0,599.0,14
12,119.0,557.0,14
13,24.0,507.0,14
14,-98.0,489.0,14
15,-155.0,399.0,14
16,-216.0,384.0,14
17,-208.0,369.0,14
18,-199.0,405.0,14
19,-215.0,413.0,14
20,-142.0,411.0,14
21,-154.0,375.0,14
22,-234.0,371.0,14
23,-268.0,360.0,14
24,-278.0,343.0,14
25,-280.0,337.0,14
26,-196.0,409.0,14
27,-140.0,408.0,15
28,-74.0,412.0,15
29,-45.0,409.0,15
30,21.0,411.0,15
31,55.0,428.0,15
32,132.0,369.0,15
33,240.0,407.0,15
34,258.0,461.0,15
35,202.0,512.0,15
36,224.0,536.0,15
37,108.0,414.0,15
38,127.0,417.0,15
39,208.0,440.0,15
40,287.0,456.0,15
41,344.0,437.0,15
42,410.0,377.0,15
43,466.0,288.0,15
44,318.0,507.0,15
45,303.0,562.0,15
46,371.0,567.0,15
47,392.0,527.0,15
48,395.0,488.0,15
49,317.0,472.0,15
50,154.0,416.0,15
51,-102.0,396.0,15
52,-442.0,398.0,15
53,-433.0,120.0,2
