establishment,month,year,change
Parc,,1997,Opened
Altcourse,,1997,Opened
Foston Hall,July,1997,Changed from male to female prison
Weare,,1997,Opened
Lowdham Grange,,1998,Opened
Send,,1998,Changed from male to female prison
Aldington,,1999,Closed
Risley,April,1999,Changed from male and female prison to male only
Low Newton,September,1999,Changed from male and female prison to female only
Ashfield,,1999,Opened (On site of former HMP Pucklechurch)
Rye Hill,,2001,Opened
Dovegate,,2001,Opened
Downview,September,2001,Changed from male to female prison
Morton Hall,,2001,Changed from male to female prison
Haslar,April,2002,Changed from prison to Immigration Removal Centre
Dover,April,2002,Changed from prison to Immigration Removal Centre
Rochester,,2002,Changed from adult male prison to YOI
Buckley Hall,April,2002,Changed from male to female prison
Buckley Hall,September,2005,Changed from female to male prison
Wolds,,2003,Changed from male local to male training prison
Canterbury,,2003,Changed from male local to male training prison
Bronzefield,,2004,Opened
Winchester,April,2004,Changed from male and female prison to male only
Weare,March,2005,Closed
Peterborough,,2005,Opened
Durham,,2005,Changed Cat A /female Cat B local to male local
Edmunds Hill,January,2005,Changed from female to male prison
Buckley Hall,,2005,Changed from female to male prison
Onley,,2005,Changed from YOI to YOI + cat C training prison
Swinfen Hall,,2005,Changed from YOI to YOI + cat C training prison
Brockhill,July,2006,Changed from female to male prison
Bullwood Hall,June,2006,Changed from female to male prison
Kennet,,2007,Opened
Cookham Wood,,2007,Changed from female and 15-17 to male prison only
Hewell Cluster,,2008,"Hewell, Blakenhurst and Brockhill merged"
Bure,,2009,Opened
Isle of Wight,April,2009,"Albany, Camp Hill and Parkhurst merged. Only reporting as Isle of Wight from 2013."
Isis,,2010,Opened
Northumberland,,2011,Acklington and Castington merged
Ashwell,March,2011,Closed
Highpoint,April,2011,Edmunds Hill merged with Highpoint
Morton Hall,June,2011,Changed from female prison to Immigration Removal Centre holding male only
Latchmere House,September,2011,Closed
Lancaster Castle,,2011,Closed
Thameside,March,2012,Opened
Oakwood,April,2012,Opened
Brixton,July,2012,Changed from Cat B  to Cat C prison
Wellingborough,December,2012,Closed
Bullwood Hall,March,2013,Closed
Canterbury,March,2013,Closed
Gloucester,March,2013,Closed
Kingston,March,2013,Closed
Shepton Mallet,March,2013,Closed
Shrewsbury,March,2013,Closed
Ashfield,June,2013,Changed from YOI to Cat C sex offender prison
Downview,October,2013,Temporarily closed pending re-role from female to male prison
Verne,October,2013,Changed from Cat C prison to Immigration Removal Centre
Blundeston,December,2013,Closed
Dorchester,December,2013,Closed
Reading,December,2013,Closed
Northallerton,December,2013,Closed
Warren Hill,January,2014,Changed from YOI to male adult prison
Humber,April,2014,Everthorpe and Wolds merged
Blantyre House,March,2015,Temporarily closed
Haslar,April,2015,Decommissioned places for detainees. Temporarily closed pending re-role
Dover,October,2015,Decommissioned places for detainees. Temporarily closed pending re-role
Downview,May,2016,Reopened as a female prison
Holloway,June,2016,Closed
Kennet,December,2016,Closed
Berwyn,February,2017,Opened
Holme House,May,2017,Changed from local to Cat C prison
Glen Parva,June,2017,Closed
The Verne,December,2017,Decommissioned places for detainees. Temporarily closed pending re-role
The Verne,July,2018,Reopened as a Cat C trainer prison (rerolled from an IRC)
Birmingham,July,2019,Changed from private to public
Five Wells,March,2022,Opened
Fosse Way,May,2023,Opened
Cookham Wood,August,2024,Changed from YOI to male adult prison
Lowdham Grange,August,2024,Changed from private to public
Dartmoor,September,2024,Temporarily closed
Millsike,April,2025,Opened
