date,band34_officers,operational_b2_b5,all_hmps_ycs_staff,population,public_population,prisoners_per_officer,prisoners_per_op_staff
2017-03-31,14870.2,22666.7,31128.5,85513.0,,,
2017-06-30,15244.8,22943.3,31414.9,85863.0,,,
2017-09-30,15708.4,23323.8,31702.1,86256.6,,,
2017-12-31,16364.9,23935.1,32250.3,84690.0,,,
2018-03-31,17419.3,25132.9,33571.4,83727.6,68038.7,3.906,2.7
2018-06-30,17986.2,25909.7,34540.7,82952.4,67331.7,3.744,2.6
2018-09-30,18623.5,26637.4,35368.4,83063.1,67580.1,3.629,2.5
2018-12-31,19052.4,27064.7,35928.5,82306.0,66963.1,3.515,2.5
2019-03-31,18896.5,26928.6,35902.2,82661.0,67085.3,3.55,2.5
2019-06-30,18507.9,26617.0,35618.5,82716.9,67471.2,3.646,2.5
2019-09-30,18626.0,26801.2,35918.1,83781.0,68063.1,3.654,2.5
2019-12-31,18231.7,26352.5,35495.6,82886.4,67725.8,3.715,2.6
2020-03-31,18000.3,26189.2,35338.6,82846.1,66064.7,3.67,2.5
2020-06-30,18261.6,26498.9,35652.1,79492.4,64514.4,3.533,2.4
2020-09-30,17948.9,26225.7,35398.6,79250.1,63720.9,3.55,2.4
2020-12-31,17679.5,26003.3,35125.5,78284.6,63061.4,3.567,2.4
2021-03-31,18038.9,26443.1,35575.5,77954.6,62788.0,3.481,2.4
2021-06-30,18160.5,26638.8,35775.1,78330.0,63341.8,3.488,2.4
2021-09-30,18481.5,26936.6,36043.0,78794.9,64278.9,3.478,2.4
2021-12-31,18191.8,26612.6,35659.4,79092.0,64387.1,3.539,2.4
2022-03-31,18030.9,26544.5,35622.0,79783.4,64217.3,3.562,2.4
2022-06-30,17788.2,26239.8,35285.9,80690.3,65110.2,3.66,2.5
2022-09-30,17776.6,26283.3,35415.7,81309.0,65722.4,3.697,2.5
2022-12-31,17822.6,26263.9,35548.9,82181.1,66276.3,3.719,2.5
2023-03-31,18542.9,27105.6,36649.6,84372.0,67510.3,3.641,2.5
2023-06-30,18635.7,27315.9,37020.0,85851.0,68837.9,3.694,2.5
2023-09-30,19258.4,27974.7,37855.6,87824.9,69113.5,3.589,2.5
2023-12-31,19465.7,28225.8,38227.3,87282.3,68240.4,3.506,2.4
2024-03-31,19925.4,28769.6,38897.3,87202.1,68150.1,3.42,2.4
2024-06-30,19912.2,28776.7,38834.9,87386.6,68168.0,3.423,2.4
2024-09-30,19839.8,28783.5,38991.0,86565.4,66891.8,3.372,2.3
2024-12-31,19337.4,28190.0,38438.6,85628.1,67215.7,3.476,2.4
2025-03-31,19014.2,27783.6,38074.9,87919.0,68181.2,3.586,2.5
2025-06-30,18979.3,27767.1,37965.7,87334.0,67610.1,3.562,2.4
2025-09-30,18827.9,27557.0,37745.9,87330.0,67023.1,3.56,2.4
2025-12-31,18369.0,27066.3,37263.4,86588.0,66583.4,3.625,2.5
2026-03-31,18259.5,27065.6,37248.0,87213.4,65243.1,3.573,2.4
2026-06-30,18177.8,27211.1,37488.8,85772.3,65292.1,3.592,2.4
