edition,ref_date,total,bulletin_total,bulletin_prisons,diff_total,diff_prisons
2011-2017,2011-06-30,84200.0,85360.3,84721.6,-1160.3,-521.6
2017-2022,2017-06-01,85863.0,85302.0,84506.7,561.0,1356.3
2018-2023,2018-06-30,82773.0,82952.4,82644.0,-179.4,129.0
2019-2024,2019-06-30,82676.0,82716.9,82464.3,-40.9,211.7
2020-2026,2020-09-30,79235.0,79250.1,79125.1,-15.1,109.9
2021-2026,2021-07-01,78318.0,78346.0,78280.6,-28.0,37.4
2022-2027,2022-11-30,82905.0,82879.7,,25.3,
2023-2028,2023-11-30,87935.0,87896.6,,38.4,
2024-2029,2024-09-30,86966.0,86565.4,,400.6,
2025-2030,2025-09-30,87465.0,87330.0,,135.0,
