edition,horizon_years,ref_date,total,actual,error,pct_error,naive,naive_error
2008-2015,3,2011-06-30,87900.0,85360.3,2539.7,3.0,,
2008-2015,4,2012-06-30,88700.0,86366.3,2333.7,2.7,,
2008-2015,5,2013-06-30,88600.0,83826.3,4773.7,5.7,,
2008-2015,6,2014-06-30,89000.0,85516.0,3484.0,4.1,,
2008-2015,7,2015-06-30,89700.0,86105.7,3594.3,4.2,,
2009-2015,2,2011-06-30,86900.0,85360.3,1539.7,1.8,,
2009-2015,3,2012-06-30,87700.0,86366.3,1333.7,1.5,,
2009-2015,4,2013-06-30,87600.0,83826.3,3773.7,4.5,,
2009-2015,5,2014-06-30,88000.0,85516.0,2484.0,2.9,,
2009-2015,6,2015-06-30,88700.0,86105.7,2594.3,3.0,,
2010-2016,1,2011-06-30,87100.0,85360.3,1739.7,2.0,,
2010-2016,2,2012-06-30,87700.0,86366.3,1333.7,1.5,,
2010-2016,3,2013-06-30,88400.0,83826.3,4573.7,5.5,,
2010-2016,4,2014-06-30,88700.0,85516.0,3184.0,3.7,,
2010-2016,5,2015-06-30,88600.0,86105.7,2494.3,2.9,,
2010-2016,6,2016-06-30,88500.0,85128.3,3371.7,4.0,,
2011-2017,1,2012-06-30,86900.0,86366.3,533.7,0.6,85360.3,-1006.0
2011-2017,2,2013-06-30,86900.0,83826.3,3073.7,3.7,85360.3,1534.0
2011-2017,3,2014-06-30,87500.0,85516.0,1984.0,2.3,85360.3,-155.7
2011-2017,4,2015-06-30,88000.0,86105.7,1894.3,2.2,85360.3,-745.4
2011-2017,5,2016-06-30,88500.0,85128.3,3371.7,4.0,85360.3,232.0
2011-2017,6,2017-06-30,88900.0,85863.0,3037.0,3.5,85360.3,-502.7
2012-2018,1,2013-06-30,84600.0,83826.3,773.7,0.9,86366.3,2540.0
2012-2018,2,2014-06-30,84300.0,85516.0,-1216.0,-1.4,86366.3,850.3
2012-2018,3,2015-06-30,84400.0,86105.7,-1705.7,-2.0,86366.3,260.6
2012-2018,4,2016-06-30,84700.0,85128.3,-428.3,-0.5,86366.3,1238.0
2012-2018,5,2017-06-30,85300.0,85863.0,-563.0,-0.7,86366.3,503.3
2012-2018,6,2018-06-01,85600.0,83254.0,2346.0,2.8,86366.3,3112.3
2013-2019,1,2014-06-30,83400.0,85516.0,-2116.0,-2.5,83826.3,-1689.7
2013-2019,2,2015-06-30,82100.0,86105.7,-4005.7,-4.7,83826.3,-2279.4
2013-2019,3,2016-06-30,82000.0,85128.3,-3128.3,-3.7,83826.3,-1302.0
2013-2019,4,2017-06-30,81600.0,85863.0,-4263.0,-5.0,83826.3,-2036.7
2013-2019,5,2018-06-30,81500.0,82952.4,-1452.4,-1.8,83826.3,873.9
2013-2019,6,2019-06-30,81800.0,82716.9,-916.9,-1.1,83826.3,1109.4
2014-2020,1,2015-06-30,87700.0,86105.7,1594.3,1.9,85516.0,-589.7
2014-2020,2,2016-06-30,89100.0,85128.3,3971.7,4.7,85516.0,387.7
2014-2020,3,2017-06-30,89300.0,85863.0,3437.0,4.0,85516.0,-347.0
2014-2020,4,2018-06-30,89700.0,82952.4,6747.6,8.1,85516.0,2563.6
2014-2020,5,2019-06-30,90100.0,82716.9,7383.1,8.9,85516.0,2799.1
2014-2020,6,2020-06-30,90200.0,79492.4,10707.6,13.5,85516.0,6023.6
2015-2021,1,2016-06-30,86700.0,85128.3,1571.7,1.8,86105.7,977.4
2015-2021,2,2017-06-30,87400.0,85863.0,1537.0,1.8,86105.7,242.7
2015-2021,3,2018-06-30,88200.0,82952.4,5247.6,6.3,86105.7,3153.3
2015-2021,4,2019-06-30,89000.0,82716.9,6283.1,7.6,86105.7,3388.9
2015-2021,5,2020-06-30,89600.0,79492.4,10107.6,12.7,86105.7,6613.3
2016-2021,1,2017-06-30,84600.0,85863.0,-1263.0,-1.5,85128.3,-734.7
2016-2021,2,2018-06-30,83700.0,82952.4,747.6,0.9,85128.3,2175.9
2016-2021,3,2019-06-30,83800.0,82716.9,1083.1,1.3,85128.3,2411.4
2016-2021,4,2020-06-30,84000.0,79492.4,4507.6,5.7,85128.3,5635.9
2017-2022,1,2018-06-01,86400.0,83254.0,3146.0,3.8,85302.0,2048.0
2017-2022,2,2019-06-01,86500.0,82615.7,3884.3,4.7,85302.0,2686.3
2017-2022,3,2020-06-01,86800.0,79966.0,6834.0,8.5,85302.0,5336.0
2017-2022,4,2021-06-01,87400.0,78048.0,9352.0,12.0,85302.0,7254.0
