era,horizon_years,n,mean_pct_error,MAE,MAPE,pct_too_high,naive_MAE
2008 to 2014,1,5.0,0.6,1351.5,1.6,80.0,1456.4
2008 to 2014,2,6.0,0.9,2523.4,3.0,66.7,1262.9
2008 to 2014,3,7.0,1.5,2671.7,3.1,71.4,516.3
2008 to 2014,4,7.0,2.3,3232.1,3.8,71.4,1645.9
2008 to 2014,5,7.0,3.1,3217.5,3.8,71.4,1102.1
2008 to 2014,6,7.0,4.3,3779.6,4.6,85.7,2687.0
2008 to 2014,7,1.0,4.2,3594.3,4.2,100.0,
2015 to 2019,1,5.0,1.8,1954.3,2.4,80.0,1444.0
2015 to 2019,2,5.0,3.4,2749.3,3.4,100.0,2590.3
2015 to 2019,3,5.0,5.1,4128.9,5.1,100.0,3509.9
2015 to 2019,4,5.0,5.3,5880.7,7.3,80.0,4335.0
2015 to 2019,5,1.0,12.7,10107.6,12.7,100.0,6613.3
2020 onward,1,5.0,4.8,3979.9,4.8,100.0,2092.1
2020 onward,2,4.0,8.8,7489.8,8.8,100.0,3389.6
2020 onward,3,2.0,6.4,5637.6,6.4,100.0,8814.3
2020 onward,4,2.0,11.3,9789.3,11.3,100.0,8162.6
2020 onward,5,1.0,11.9,10370.0,11.9,100.0,8079.9
