horizon_years,n,mean_pct_error,MAE,MAPE,pct_too_high,naive_MAE,cut,era
1.0,15.0,2.4,2428.6,2.9,86.7,1679.0,horizon,
2.0,15.0,3.8,3923.1,4.7,86.7,2427.8,horizon,
3.0,14.0,3.5,3615.8,4.3,85.7,3385.8,horizon,
4.0,14.0,4.6,5114.8,6.1,78.6,4053.1,horizon,
5.0,9.0,5.2,4777.8,5.7,77.8,3183.6,horizon,
6.0,7.0,4.3,3779.6,4.6,85.7,2687.0,horizon,
7.0,1.0,4.2,3594.3,4.2,100.0,,horizon,
,40.0,2.3,2895.0,3.4,75.0,1445.1,era,2008 to 2014
,21.0,4.3,3984.4,4.9,90.5,3143.3,era,2015 to 2019
,14.0,7.6,6505.9,7.6,100.0,4718.0,era,2020 onward
