,total,remand,sentenced,remand_share
2015-06-30,86193,11785,72659,13.67280405601383
2015-07-31,86179,11522,72993,13.369846482321678
2015-08-31,85679,11571,72604,13.50505958286161
2015-09-30,85886,11390,72795,13.261765596255502
2015-10-31,85534,11229,72794,13.128112797250216
2015-11-30,85920,11275,73177,13.122672253258845
2015-12-31,84968,10779,72892,12.685952358534978
2016-01-31,85495,10932,73177,12.786712673255746
2016-02-29,85766,10608,73644,12.368537648951799
2016-03-31,85441,10066,73925,11.78122915228052
2016-04-30,85052,9667,73900,11.365987866246531
2016-05-31,85558,9909,74202,11.58161714860095
2016-06-30,85134,9288,74316,10.90985975051096
2016-07-31,84984,9246,74226,10.879695001412031
2016-08-31,84997,9505,73957,11.182747626386814
2016-09-30,85639,9551,74442,11.152629059190323
2016-10-31,85926,9568,74774,11.135162814514816
2016-11-30,85873,9443,74861,10.99647153354372
2016-12-31,84307,9251,73588,10.972991566536587
2017-01-31,85226,9545,74085,11.199633914533123
2017-02-28,85433,9573,74389,11.2052719675067
2017-03-31,85513,9419,74623,11.014699519371323
2017-04-30,84897,9586,73823,11.291329493386103
2017-05-31,85376,9759,74217,11.430612818590705
2017-06-30,85863,9638,74803,11.224858204348788
2017-07-31,86191,9975,74801,11.573134085925444
2017-08-31,86320,10093,74732,11.69253938832252
2017-09-30,85997,9902,74635,11.514355151923905
2017-10-31,86265,10114,74705,11.724337796325276
2017-11-30,86124,9983,75027,11.591426315545029
2017-12-31,84373,9639,73789,11.424270797530015
2018-01-31,84511,9900,73630,11.714451373194022
2018-02-28,84282,9683,73609,11.488811371348568
2018-03-31,83263,9263,73035,11.124989491130513
2018-04-30,83733,9464,73341,11.302592765098588
2018-05-31,83300,9431,72976,11.32172869147659
2018-06-30,82773,9285,72619,11.217425972237324
2018-07-31,82988,9663,72565,11.643852123198535
2018-08-31,83052,9611,72728,11.572267976689304
2018-09-30,83005,9571,72668,11.530630684898501
2018-10-31,83268,9289,73206,11.155545948023251
2018-11-30,83146,8975,73333,10.794265508863926
2018-12-31,82236,8788,72628,10.686317427890462
2019-01-31,82515,8950,72715,10.84651275525662
2019-02-28,82537,8897,72839,10.779408023068441
2019-03-31,82634,8957,72860,10.839363942202967
2019-04-30,82593,9083,72674,10.99730001331832
2019-05-31,82617,9052,72764,10.956582785625235
2019-06-30,82710,9145,72798,11.056704147019708
2019-07-31,83059,9210,72997,11.088503353038202
2019-08-31,82956,9424,72673,11.360239162929746
2019-09-30,83810,9602,73366,11.456866722348169
2019-10-31,83664,9775,73061,11.683639319181488
2019-11-30,83256,9603,72812,11.534303833957914
2019-12-31,82868,9708,72353,11.715016652990299
2020-01-31,83329,9969,72491,11.963422097949094
2020-02-29,83708,10134,72765,12.106369761552061
2020-03-31,82990,10043,72187,12.101458006988794
2020-04-30,80873,10156,69991,12.557961247882483
2020-05-31,79964,10873,68294,13.597368815967185
2020-06-30,79514,11388,67352,14.322006187589606
2020-07-31,79643,11768,67141,14.775937621636553
2020-08-31,79228,12017,66503,15.167617508961479
2020-09-30,79235,12274,66100,15.490629141162366
2020-10-31,78874,12244,65764,15.523493166315896
2020-11-30,78854,12300,65651,15.598447764222486
2020-12-31,78180,12066,65171,15.433614735226401
2021-01-31,78104,12307,64808,15.757195534159582
2021-02-28,77987,12302,64690,15.774423942451946
2021-03-31,78058,12262,64783,15.708831894232494
2021-04-30,77859,12458,64404,16.00071924889865
2021-05-31,77972,12588,64440,16.144256912737905
2021-06-30,78324,12727,64637,16.24917011388591
2021-07-31,78318,12753,64632,16.283612962537347
2021-08-31,78888,13199,64681,16.73131528242572
2021-09-30,78756,12990,64746,16.49398141094012
2021-10-31,79340,13348,65118,16.823796319637005
2021-11-30,79737,13326,65478,16.712442153579893
2021-12-31,79092,12780,65411,16.158397815202548
2022-01-31,79484,13125,65400,16.512757284484927
