target,from_edition,to_edition,rev_total,rev_remand,rev_determinate,rev_indeterminate,rev_recall,rev_non-criminal,rev_fine_defaulters
Jun 2017,2015-2021,2016-2021,-2800.0,-2600.0,100.0,-200.0,-100.0,0.0,0.0
Jun 2018,2015-2021,2016-2021,-4500.0,-2800.0,-1300.0,-300.0,-100.0,0.0,0.0
Jun 2018,2016-2021,2017-2022,2700.0,1000.0,2700.0,-600.0,-300.0,-100.0,0.0
Jun 2019,2015-2021,2016-2021,-5200.0,-2800.0,-2100.0,-300.0,0.0,0.0,0.0
Jun 2019,2016-2021,2017-2022,2700.0,1000.0,2800.0,-800.0,-300.0,-100.0,0.0
Jun 2019,2017-2022,2018-2023,-2800.0,-600.0,-1600.0,200.0,-300.0,-500.0,0.0
Jun 2020,2015-2021,2016-2021,-5600.0,-2800.0,-2500.0,-300.0,0.0,0.0,0.0
Jun 2020,2016-2021,2017-2022,2800.0,1000.0,3000.0,-800.0,-300.0,-100.0,0.0
Jun 2020,2017-2022,2018-2023,-2600.0,-600.0,-1400.0,200.0,-300.0,-500.0,0.0
Jun 2020,2018-2023,2019-2024,-1900.0,-300.0,-2900.0,0.0,1400.0,-100.0,0.0
Jun 2021,2017-2022,2018-2023,-2300.0,-600.0,-900.0,200.0,-400.0,-500.0,0.0
Jun 2021,2018-2023,2019-2024,-3900.0,-300.0,-5100.0,0.0,1400.0,-100.0,0.0
Jun 2022,2018-2023,2019-2024,-4400.0,-300.0,-5700.0,100.0,1500.0,-100.0,0.0
Nov 2024,2022-2027,2023-2028,1300.0,3300.0,-2700.0,100.0,800.0,-300.0,-50.0
Sep 2025,2020-2026,2024-2029,-8600.0,6600.0,-15500.0,-100.0,700.0,-300.0,-50.0
Sep 2026,2020-2026,2024-2029,-5200.0,7500.0,-12900.0,-200.0,700.0,-300.0,-50.0
Sep 2026,2024-2029,2025-2030,-2100.0,-2000.0,-800.0,200.0,500.0,0.0,0.0
Sep 2027,2024-2029,2025-2030,-2600.0,-2100.0,-1600.0,400.0,900.0,0.0,0.0
Sep 2028,2024-2029,2025-2030,-2400.0,-2100.0,-1400.0,400.0,900.0,0.0,0.0
