edition,1y,2y,3y,4y,5y,targets,naive_wins,all_high
2008-2015,~,~,+3.0,+2.7,+5.7,5,4,yes
2009-2015,~,+1.8,+1.5,+4.5,+2.9,5,2,yes
2010-2016,+2.0,+1.5,+5.5,+3.7,+2.9,6,5,yes
2011-2017,+0.6,+3.7,+2.3,+2.2,+4.0,6,4,yes
2012-2018,+0.9,-1.4,-2.0,-0.5,-0.7,6,3,no
2013-2019,-2.5,-4.7,-3.7,-5.0,-1.8,6,5,no
2014-2020,+1.9,+4.7,+4.0,+8.1,+8.9,6,6,yes
2015-2021,+1.8,+1.8,+6.3,+7.6,+12.7,5,5,yes
2016-2021,-1.5,+0.9,+1.3,+5.7,,4,1,no
2017-2022,+3.8,+4.7,+8.5,+12.0,,4,4,yes
2018-2023,+1.2,+5.9,+8.6,+6.3,,4,4,yes
2019-2024,+3.5,+3.7,+0.9,-4.8,,4,1,no
2020-2026,+5.6,+8.4,+5.9,+10.9,+11.9,5,4,yes
2021-2026,+5.0,+4.2,+7.0,+11.6,,4,2,yes
2022-2027,+1.4,+8.3,,,,2,1,yes
2023-2028,+9.8,+14.2,,,,2,2,yes
2024-2029,+2.0,,,,,1,1,yes
