edition,scenario,ref_date,total,determinate,indeterminate,remand,recall,non-criminal,fine,fine_defaulters,base_date,edition_year,horizon_years,actual,base,err,pct,proj_dir,act_dir,dir_right,naive_err,naive_wins,high,low,in_range,below_low,era
2008-2015,central,2011-06-30,87900.0,,,,,,,,2009-06-30,2008,3,85360.28571428571,83194.0,2539.71428571429,2.975287939188855,1.0,1.0,True,-2166.28571428571,True,90500.0,85100.0,True,False,2008 to 2014
2008-2015,central,2012-06-30,88700.0,,,,,,,,2009-06-30,2008,4,86366.28571428571,83194.0,2333.71428571429,2.702112596846658,1.0,1.0,True,-3172.28571428571,False,92100.0,85000.0,True,False,2008 to 2014
2008-2015,central,2013-06-30,88600.0,,,,,,,,2009-06-30,2008,5,83826.28571428571,83194.0,4773.71428571429,5.694770136881719,1.0,1.0,True,-632.2857142857101,True,93000.0,84100.0,False,True,2008 to 2014
2008-2015,central,2014-06-30,89000.0,,,,,,,,2009-06-30,2008,6,85516.0,83194.0,3484.0,4.07409139810094,1.0,1.0,True,-2322.0,True,94200.0,83600.0,True,False,2008 to 2014
2008-2015,central,2015-06-30,89700.0,,,,,,,,2009-06-30,2008,7,86105.71428571429,83194.0,3594.28571428571,4.174270829876891,1.0,1.0,True,-2911.71428571429,True,95800.0,83400.0,True,False,2008 to 2014
2009-2015,central,2011-06-30,86900.0,,,,,,,,2010-06-30,2009,2,85360.28571428571,83391.0,1539.71428571429,1.8037829569455237,1.0,1.0,True,-1969.2857142857101,False,88600.0,84900.0,True,False,2008 to 2014
2009-2015,central,2012-06-30,87700.0,,,,,,,,2010-06-30,2009,3,86366.28571428571,83391.0,1333.71428571429,1.5442533792948356,1.0,1.0,True,-2975.28571428571,False,90200.0,84900.0,True,False,2008 to 2014
2009-2015,central,2013-06-30,87600.0,,,,,,,,2010-06-30,2009,4,83826.28571428571,83391.0,3773.71428571429,4.501826907345809,1.0,1.0,True,-435.2857142857101,True,91100.0,84000.0,False,True,2008 to 2014
2009-2015,central,2014-06-30,88000.0,,,,,,,,2010-06-30,2009,5,85516.0,83391.0,2484.0,2.904719584639132,1.0,1.0,True,-2125.0,True,92400.0,83500.0,True,False,2008 to 2014
2009-2015,central,2015-06-30,88700.0,,,,,,,,2010-06-30,2009,6,86105.71428571429,83391.0,2594.28571428571,3.0129077214055764,1.0,1.0,True,-2714.71428571429,False,93900.0,83300.0,True,False,2008 to 2014
2010-2016,central,2011-06-30,87100.0,,,,,,,,2011-06-30,2010,1,85360.28571428571,85002.0,1739.71428571429,2.0380839533941897,1.0,1.0,True,-358.2857142857101,True,88000.0,86100.0,False,True,2008 to 2014
2010-2016,central,2012-06-30,87700.0,,,,,,,,2011-06-30,2010,2,86366.28571428571,85002.0,1333.71428571429,1.5442533792948356,1.0,1.0,True,-1364.2857142857101,False,89300.0,85900.0,True,False,2008 to 2014
