,d_officers,d_opcap,d_inuse,window
askham grange,-4.397433076923079,0.0,0.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
aylesbury,-4.361746874566904,-20.0,0.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
bedford,-23.29487179487188,0.0,2.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
belmarsh,19.58976769230776,0.0,-2.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
berwyn,-33.04765148995227,0.0,1.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
birmingham,-23.989925592515874,6.0,0.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
brinsford,-7.653843333333526,0.0,0.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
bristol,10.217945897435811,0.0,3.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
brixton,42.564118974359275,-40.0,0.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
buckley hall,-0.9871738461539223,0.0,0.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
bullingdon,-3.538464102564376,0.0,0.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
bure,-4.433859230769258,0.0,0.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
cardiff,-6.11537948717978,0.0,-29.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
channings wood,-25.568797754677803,30.0,26.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
chelmsford,-5.371793846154219,0.0,0.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
coldingley,-2.897438205128182,0.0,-7.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
cookham wood,-7.6282079487179,55.0,82.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
dartmoor,-13.500022564102562,0.0,0.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
deerbolt,11.88046286902292,16.0,16.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
downview,-19.78204358974361,0.0,0.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
drake hall,-2.7948661538461153,0.0,-1.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
durham,-27.71708810810813,-20.0,0.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
east sutton park,-1.5928628205128206,0.0,0.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
eastwood park,-15.153840769230953,-20.0,-20.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
elmley,-41.75641769230782,-30.0,0.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
erlestoke,-15.50277200277199,0.0,0.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
exeter,-11.333335128205135,0.0,0.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
featherstone,-1.115376153846256,-47.0,-72.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
feltham,-18.294874871795002,-5.0,23.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
ford,-8.410251282051235,0.0,10.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
foston hall,-9.192301538461521,10.0,0.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
frankland,23.512807948718887,0.0,0.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
full sutton,-43.26921846153846,0.0,0.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
garth,-9.282039487179674,-39.0,3.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
gartree,-0.4587656895358805,98.0,76.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
guys marsh,-11.224358974358921,28.0,20.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
hatfield,3.4871761538461357,0.0,0.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
haverigg,2.987171794871756,56.0,60.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
hewell,-21.20788815661831,-20.0,17.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
high down,-14.00000358974387,20.0,-48.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
highpoint,8.265895384615305,-30.0,-6.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
hindley,-7.730760769230898,-18.0,0.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
hollesley bay,-5.987176666666684,0.0,0.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
holme house,11.561333894663903,-9.0,21.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
hull,-5.769236410256497,-8.0,-7.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
humber,0.6611141995841763,0.0,0.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
huntercombe,-1.9587479972280022,0.0,0.0,"Mar 2025 to Mar 2026 (prior year, placebo)"
