title,page,url,ext,local
Population bulletin: weekly 24 August 2026,Prison population: weekly estate figures 2026,https://assets.publishing.service.gov.uk/media/6a8c3338a8f84a582b84282f/PSWEBREPORT.ods,ods,raw/weekly/6a8c3338a8f84a582b84282f_PSWEBREPORT.ods
Population bulletin: weekly 17 August 2026,Prison population: weekly estate figures 2026,https://assets.publishing.service.gov.uk/media/6a82bfaf03b4fe14b1e7ded5/prison-pop-17-aug-2026.ods,ods,raw/weekly/6a82bfaf03b4fe14b1e7ded5_prison-pop-17-aug-2026.ods
Population bulletin: weekly 10 August 2026,Prison population: weekly estate figures 2026,https://assets.publishing.service.gov.uk/media/6a79a4809fad0e27bebabe5a/prison-pop-10-august-2026.ods,ods,raw/weekly/6a79a4809fad0e27bebabe5a_prison-pop-10-august-2026.ods
Population bulletin: weekly 3 August 2026,Prison population: weekly estate figures 2026,https://assets.publishing.service.gov.uk/media/6a708129895ee729c0e5b42d/PSWEBREPORT_3_August.ods,ods,raw/weekly/6a708129895ee729c0e5b42d_PSWEBREPORT_3_August.ods
Population bulletin: weekly 27 July 2026,Prison population: weekly estate figures 2026,https://assets.publishing.service.gov.uk/media/6a67396bf02dfa8e780938fa/prison-pop-27-july-2026.ods,ods,raw/weekly/6a67396bf02dfa8e780938fa_prison-pop-27-july-2026.ods
Population bulletin: weekly 20 July 2026,Prison population: weekly estate figures 2026,https://assets.publishing.service.gov.uk/media/6a5de5727eb057103bd946d7/prison-pop-20-july-2026.ods,ods,raw/weekly/6a5de5727eb057103bd946d7_prison-pop-20-july-2026.ods
Population bulletin: weekly 13 July 2026,Prison population: weekly estate figures 2026,https://assets.publishing.service.gov.uk/media/6a54b7879e9c95844ae64d73/prison-pop-13-july-2026.ods,ods,raw/weekly/6a54b7879e9c95844ae64d73_prison-pop-13-july-2026.ods
Population bulletin: weekly 6 July 2026,Prison population: weekly estate figures 2026,https://assets.publishing.service.gov.uk/media/6a4b8609045e1108aaa5ebb3/PSWEBREPORT_6_July_2026.ods,ods,raw/weekly/6a4b8609045e1108aaa5ebb3_PSWEBREPORT_6_July_2026.ods
Population bulletin: weekly 29 June 2026,Prison population: weekly estate figures 2026,https://assets.publishing.service.gov.uk/media/6a424c037ac6fd9c6a94ab06/PSWEBREPORT_29_6_26.ods,ods,raw/weekly/6a424c037ac6fd9c6a94ab06_PSWEBREPORT_29_6_26.ods
Population bulletin: weekly 22 June 2026,Prison population: weekly estate figures 2026,https://assets.publishing.service.gov.uk/media/6a38f1c46422bec01b1178ab/PSWEBREPORT_22_June_26.ods,ods,raw/weekly/6a38f1c46422bec01b1178ab_PSWEBREPORT_22_June_26.ods
Population bulletin: weekly 15 June 2026,Prison population: weekly estate figures 2026,https://assets.publishing.service.gov.uk/media/6a2fcdb1a3674dfd3eb50896/PSWEBREPORT_15_June_26.ods,ods,raw/weekly/6a2fcdb1a3674dfd3eb50896_PSWEBREPORT_15_June_26.ods
Population bulletin: weekly 8 June 2026,Prison population: weekly estate figures 2026,https://assets.publishing.service.gov.uk/media/6a267ecf56960b0542c0b133/PSWEBREPORT_8_June_26.ods,ods,raw/weekly/6a267ecf56960b0542c0b133_PSWEBREPORT_8_June_26.ods
Population bulletin: weekly 1 June 2026,Prison population: weekly estate figures 2026,https://assets.publishing.service.gov.uk/media/6a1d44fd65bc5f798327f566/PSWEBREPORT_1_June_2026.ods,ods,raw/weekly/6a1d44fd65bc5f798327f566_PSWEBREPORT_1_June_2026.ods
Population bulletin: weekly 18 May 2026,Prison population: weekly estate figures 2026,https://assets.publishing.service.gov.uk/media/6a0aea2cc75cc34a8ff8f3d8/PSWEBREPORT_Mon_18_May.ods,ods,raw/weekly/6a0aea2cc75cc34a8ff8f3d8_PSWEBREPORT_Mon_18_May.ods
Population bulletin: weekly 11 May 2026,Prison population: weekly estate figures 2026,https://assets.publishing.service.gov.uk/media/6a01b1e3e71c4cdf4026b99c/prison-pop-11-may-2026.ods,ods,raw/weekly/6a01b1e3e71c4cdf4026b99c_prison-pop-11-may-2026.ods
